                                  Instance                                   |                                 SHOTcpx1910@1                                  |                               SHOTcpx1910noref@1                               |                               SHOTcpx1910nrnc@1                                |                              SHOTcpx1910rcnoref@1                              |
edgecross10-070              91    90   481 min  7.170000e+02  7.170000e+02  |normal      7.170000e+02    0.00  7.170000e+02    0.00   0.00   22.20        0  |normal      0.000000e+00     inf  7.970000e+02   11.16    inf    0.49        0  |normal      7.170000e+02    0.00  7.170000e+02    0.00   0.00   22.01        0  |normal      0.000000e+00     inf  7.720000e+02    7.67    inf    0.61        0  |
edgecross10-080              91    74   481 min  1.037000e+03  1.037000e+03  |normal      8.150000e+02   27.24  1.296000e+03   24.98  59.02    1.96        0  |normal      0.000000e+00     inf  1.110000e+03    7.04    inf    0.38        0  |normal      8.150000e+02   27.24  1.296000e+03   24.98  59.02    1.85        0  |normal      0.000000e+00     inf  1.105000e+03    6.56    inf    0.48        0  |
edgecross10-090              91    90   481 min  1.387000e+03  1.387000e+03  |normal      1.387000e+03    0.00  1.387000e+03    0.00   0.00    0.28        0  |iterlim     0.000000e+00     inf  1.601000e+03   15.43    inf    0.16        0  |normal      1.387000e+03    0.00  1.387000e+03    0.00   0.00    0.20        0  |normal      0.000000e+00     inf  1.388000e+03    0.07    inf    0.36        0  |
edgecross14-019             183   182  1457 min  4.000000e+00  4.000000e+00  |normal      4.000000e+00    0.00  4.000000e+00    0.00   0.00    0.25        0  |iterlim     0.000000e+00     inf  4.700000e+01   Large    inf    0.12        0  |normal      4.000000e+00    0.00  4.000000e+00    0.00   0.00    0.15        0  |normal      0.000000e+00     inf  8.000000e+00  100.00    inf    0.45        0  |
edgecross14-039             183    80  1457 min  1.090000e+02  1.090000e+02  |normal      0.000000e+00     inf  1.220000e+02   11.93    inf    4.24        0  |normal      0.000000e+00     inf  1.590000e+02   45.87    inf    0.28        0  |normal      0.000000e+00     inf  1.590000e+02   45.87    inf    0.28        0  |normal      0.000000e+00     inf  1.220000e+02   11.93    inf    0.47        0  |
edgecross14-058             183   182  1457 min  3.530000e+02  3.530000e+02  |normal      3.530000e+02    0.00  3.530000e+02    0.00   0.00   15.03        0  |iterlim     0.000000e+00     inf  6.450000e+02   82.72    inf    0.71        0  |normal      3.530000e+02    0.00  3.530000e+02    0.00   0.00   15.33        0  |normal      0.000000e+00     inf  4.540000e+02   28.61    inf    1.10        0  |
edgecross14-078             183   155  1457 min  6.727222e+02  7.250000e+02  |normal      2.060000e+02      --  1.340000e+03      -- 550.49   18.88        0  |normal      0.000000e+00      --  9.650000e+02      --    inf    1.88        0  |normal      2.060000e+02      --  1.340000e+03      -- 550.49   18.69        0  |normal      0.000000e+00      --  9.200000e+02      --    inf    2.45        0  |
edgecross14-137             183   182  1457 min  2.615500e+03  2.874000e+03  |timelim     2.241498e+03      --  2.889000e+03      --  28.89  900.03        0  |iterlim     0.000000e+00      --  4.093000e+03      --    inf    5.18        0  |timelim     2.241498e+03      --  2.887000e+03      --  28.80  900.01        0  |normal      0.000000e+00      --  3.386000e+03      --    inf    6.05        0  |
edgecross14-156             183   116  1457 min  3.963490e+03  4.310000e+03  |normal      2.349000e+03      --  5.458000e+03      -- 132.35    5.68        0  |iterlim     0.000000e+00      --  4.822000e+03      --    inf    5.03        0  |normal      2.349000e+03      --  5.458000e+03      -- 132.35    5.35        0  |normal      0.000000e+00      --  4.382000e+03      --    inf    5.58        0  |
edgecross14-176             183   182  1457 min  5.875000e+03  5.875000e+03  |normal      5.875000e+03    0.00  5.875000e+03    0.00   0.00   59.39        0  |iterlim     0.000000e+00     inf  6.459000e+03    9.94    inf    2.31        0  |normal      5.875000e+03    0.00  5.875000e+03    0.00   0.00   59.27        0  |normal      0.000000e+00     inf  6.260000e+03    6.55    inf    2.43        0  |
edgecross20-040             381   380  4561 min  5.700000e+01  5.700000e+01  |normal      5.700000e+01    0.00  5.700000e+01    0.00   0.00    1.79        0  |iterlim     0.000000e+00     inf  3.770000e+02  561.40    inf    0.57        0  |normal      5.700000e+01    0.00  5.700000e+01    0.00   0.00    1.47        0  |normal      0.000000e+00     inf  1.070000e+02   87.72    inf    5.13        0  |
edgecross22-048             463   462  6161 min  8.400000e+01  8.400000e+01  |normal      8.400000e+01    0.00  8.400000e+01    0.00   0.00    2.62        0  |iterlim     0.000000e+00     inf  5.490000e+02  553.57    inf    1.06        0  |normal      8.400000e+01    0.00  8.400000e+01    0.00   0.00    2.20        0  |normal      0.000000e+00     inf  1.620000e+02   92.86    inf    6.28        0  |
elf                          54    24    41 min  1.916667e-01  1.916667e-01  |normal      1.916667e-01    0.00  1.916667e-01    0.00   0.00    3.27     1627  |normal      1.916667e-01   -0.00            --     inf     --    0.15      652  |normal      1.916667e-01   -0.00            --     inf     --    0.17      652  |normal      1.916667e-01    0.00  1.916667e-01    0.00   0.00    3.23     1627  |
eniplac                     141    24   213 min -1.321171e+05 -1.321171e+05  |normal     -2.458350e+05   86.07 -1.321171e+05   -0.00  86.07    0.56        0  |normal     -2.458350e+05   86.07 -1.321171e+05   -0.00  86.07    0.31        0  |normal     -2.458350e+05   86.07 -1.321171e+05   -0.00  86.07    0.30        0  |normal     -2.458350e+05   86.07 -1.321171e+05   -0.00  86.07    0.42        0  |
ethanolh                     61    24    85 min -1.575865e+02 -1.575865e+02  |normal     -3.127107e+01 -403.94 -3.127107e+01  403.94   0.00    0.16        0 !|normal     -3.127107e+01 -403.94 -3.127107e+01  403.94   0.00    0.11        0 !|normal     -3.127107e+01 -403.94 -3.127107e+01  403.94   0.00    0.11        0 !|normal     -3.127107e+01 -403.94 -3.127107e+01  403.94   0.00    0.12        0 !|
ethanolm                     37    24    77 min -1.575865e+02 -1.575865e+02  |normal     -6.951048e+02  341.09 -7.407803e+01  112.73 838.34    0.19        0  |normal     -6.951048e+02  341.09 -7.407803e+01  112.73 838.34    0.10        0  |normal     -6.951048e+02  341.09 -7.407803e+01  112.73 838.34    0.10        0  |normal     -6.951048e+02  341.09 -7.407803e+01  112.73 838.34    0.14        0  |
ex1221                        5     3     7 min  7.667180e+00  7.667180e+00  |normal      4.931112e+00   55.49  7.667180e+00    0.00  55.49    0.12        0  |normal      4.931112e+00   55.49  7.931112e+00    3.44  60.84    0.06        0  |normal      4.931112e+00   55.49  7.931112e+00    3.44  60.84    0.05        0  |normal      4.931112e+00   55.49  7.667180e+00    0.00  55.49    0.08        0  |
ex1222                        3     1     3 min  1.076543e+00  1.076543e+00  |iterlim     1.000000e-01  976.54  1.076543e+00    0.00 976.54    0.08        0  |normal      1.000000e-01  976.54  1.076543e+00    0.00 976.54    0.04        0  |iterlim     1.000000e-01  976.54  1.076543e+00    0.00 976.54    0.06        0  |iterlim     1.000000e-01  976.54  1.076543e+00    0.00 976.54    0.05        0  |
ex1224                       11     8     9 min -9.434705e-01 -9.434705e-01  |normal     -9.943099e-01    5.39 -6.791840e-01   38.91  46.40    0.09        0  |normal     -9.943099e-01    5.39 -6.664000e-01   41.58  49.21    0.04        0  |normal     -9.943099e-01    5.39 -6.664000e-01   41.58  49.21    0.04        0  |normal     -9.943099e-01    5.39 -6.791840e-01   38.91  46.40    0.09        0  |
ex1225                        8     6    10 min  3.100000e+01  3.100000e+01  |normal      2.700000e+01   14.81  3.100000e+01    0.00  14.81    0.09        0  |normal      2.700000e+01   14.81  3.700000e+01   19.35  37.04    0.05        0  |normal      2.700000e+01   14.81  3.700000e+01   19.35  37.04    0.05        0  |normal      2.700000e+01   14.81  3.100000e+01    0.00  14.81    0.07        0  |
ex1226                        5     3     5 min -1.700000e+01 -1.700000e+01  |normal     -2.100000e+01   23.53 -1.700000e+01    0.00  23.53    0.08        0  |normal     -2.100000e+01   23.53 -1.700000e+01    0.00  23.53    0.04        0  |normal     -2.100000e+01   23.53 -1.700000e+01    0.00  23.53    0.05        0  |normal     -2.100000e+01   23.53 -1.700000e+01    0.00  23.53    0.06        0  |
ex1233                       52    12    64 min  1.548258e+05  1.550107e+05  |normal      0.000000e+00      --  1.550107e+05      --    inf    0.67        0  |normal      0.000000e+00      --  1.550107e+05      --    inf    0.14        0  |normal      0.000000e+00      --  1.550107e+05      --    inf    0.14        0  |normal      0.000000e+00      --  1.550107e+05      --    inf    0.61        0  |
ex1243                       68    16    96 min  8.340251e+04  8.340251e+04  |normal      0.000000e+00     inf  5.150698e+05  517.57    inf    0.12        0  |normal      0.000000e+00     inf  5.150698e+05  517.57    inf    0.05        0  |normal      0.000000e+00     inf  5.150698e+05  517.57    inf    0.05        0  |normal      0.000000e+00     inf  5.150698e+05  517.57    inf    0.08        0  |
ex1244                       95    23   129 min  8.204291e+04  8.204291e+04  |normal      0.000000e+00     inf  9.541523e+04   16.30    inf    0.14        0  |normal      0.000000e+00     inf  9.541523e+04   16.30    inf    0.05        0  |normal      0.000000e+00     inf  9.541523e+04   16.30    inf    0.05        0  |normal      0.000000e+00     inf  9.541523e+04   16.30    inf    0.09        0  |
ex1252                       39    15    55 min  1.288937e+05  1.288937e+05  |normal      0.000000e+00     inf            --     inf    inf    0.11        0  |normal      0.000000e+00     inf            --     inf    inf    0.04        0  |normal      0.000000e+00     inf            --     inf    inf    0.04        0  |normal      0.000000e+00     inf            --     inf    inf    0.05        0  |
ex1252a                      24     9    46 min  1.288937e+05  1.288937e+05  |normal      0.000000e+00     inf            --     inf    inf    0.16        0  |normal      0.000000e+00     inf            --     inf    inf    0.09        0  |normal      0.000000e+00     inf            --     inf    inf    0.09        0  |normal      0.000000e+00     inf  1.528755e+05   18.61    inf    0.14        0  |
ex1263                       92    72    55 min  1.960000e+01  1.960000e+01  |normal      1.910000e+01    2.62  2.100000e+01    7.14   9.95    1.05        0  |iterlim     1.910000e+01    2.62  3.200000e+01   63.27  67.54    0.13        0  |iterlim     1.910000e+01    2.62  3.200000e+01   63.27  67.54    0.15        0  |normal      1.910000e+01    2.62  2.100000e+01    7.14   9.95    0.99        0  |
ex1263a                      24    24    35 min  1.960000e+01  1.960000e+01  |normal      1.960000e+01    0.00  1.960000e+01    0.00   0.00    0.10        0  |iterlim     1.910000e+01    2.62  2.930000e+01   49.49  53.40    0.08        0  |normal      1.960000e+01    0.00  1.960000e+01    0.00   0.00    0.08        0  |normal      1.910000e+01    2.62  2.930000e+01   49.49  53.40    0.15        0  |
ex1264                       88    68    55 min  8.600000e+00  8.600000e+00  |normal      8.100000e+00    6.17  9.600000e+00   11.63  18.52    0.43        0  |normal      8.100000e+00    6.17  9.600000e+00   11.63  18.52    0.17        0  |normal      8.100000e+00    6.17  9.600000e+00   11.63  18.52    0.17        0  |normal      8.100000e+00    6.17  9.600000e+00   11.63  18.52    0.38        0  |
ex1264a                      24    24    35 min  8.600000e+00  8.600000e+00  |normal      8.600000e+00    0.00  8.600000e+00    0.00   0.00    0.21        0  |normal      8.100000e+00    6.17  1.110000e+01   29.07  37.04    0.05        0  |normal      8.600000e+00    0.00  8.600000e+00    0.00   0.00    0.19        0  |normal      8.100000e+00    6.17  1.110000e+01   29.07  37.04    0.08        0  |
ex1265                      130   100    74 min  1.030000e+01  1.030000e+01  |normal      1.010000e+01    1.98  1.160000e+01   12.62  14.85    0.37        0  |iterlim     1.010000e+01    1.98  1.630000e+01   58.25  61.39    0.11        0  |iterlim     1.010000e+01    1.98  1.630000e+01   58.25  61.39    0.10        0  |normal      1.010000e+01    1.98  1.160000e+01   12.62  14.85    0.31        0  |
ex1265a                      35    35    44 min  1.030000e+01  1.030000e+01  |normal      1.030000e+01    0.00  1.030000e+01    0.00   0.00    0.12        0  |iterlim     1.010000e+01    1.98  1.400000e+01   35.92  38.61    0.18      104  |normal      1.030000e+01    0.00  1.030000e+01    0.00   0.00    0.11        0  |normal      1.010000e+01    1.98  1.100000e+01    6.80   8.91    2.18     2349  |
ex1266                      180   138    95 min  1.630000e+01  1.630000e+01  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.13        0  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.07        0  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.07        0  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.08        0  |
ex1266a                      48    48    53 min  1.630000e+01  1.630000e+01  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.10        0  |normal      1.630000e+01    0.00  1.700000e+01    4.29   4.29    0.28     1441  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.09        0  |normal      1.630000e+01    0.00  1.700000e+01    4.29   4.29   11.79   183638  |
ex3pb                        32     8    36 min  6.800974e+01  6.800974e+01  |iterlim    -2.042300e+04     inf  1.133890e+02   66.72    inf    0.71        0  |normal     -2.042300e+04     inf  1.300000e+02   91.15    inf    0.20        0  |normal     -2.042300e+04     inf  1.300000e+02   91.15    inf    0.20        0  |iterlim    -2.042300e+04     inf  1.133890e+02   66.72    inf    0.58        0  |
feedtray2                    88    36   287 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    0.23        0  |normal      0.000000e+00    0.00            --     inf    inf    0.07        0  |normal      0.000000e+00    0.00            --     inf    inf    0.08        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    0.10        0  |
fin2bb                      588   175   639 min  0.000000e+00  0.000000e+00  |normal      1.321556e-21    0.00  1.321556e-21    0.00   0.00   12.59        0  |normal      1.026054e-19    0.00  1.026054e-19    0.00   0.00    4.30        0  |normal      1.026054e-19    0.00  1.026054e-19    0.00   0.00    4.27        0  |normal      1.321556e-21    0.00  1.321556e-21    0.00   0.00    4.53        0  |
gabriel01                   215    72   515 max  4.584869e+01  4.524445e+01  |normal      4.764330e+01      --            --      --     --    3.50      419  |normal      4.764330e+01      --            --      --     --    2.94        0  |normal      4.764330e+01      --            --      --     --    2.92        0  |normal      4.764330e+01      --            --      --     --    3.24      419  |
gabriel04                   361   101  1071 max  9.515631e+00  9.226600e+00  |normal      1.081680e+01      --  9.195567e+00      --  17.63   30.60     5068  |normal      1.081680e+01      --  7.021767e+00      --  54.05   12.26     4455  |normal      1.081680e+01      --  7.021767e+00      --  54.05   12.31     4455  |normal      1.081680e+01      --  9.195567e+00      --  17.63   29.69     5068  |
gasnet_al1                  724   136  1013 min  7.352231e+03  7.438040e+03  |normal     -6.801000e+02      --            --      --     --    1.48        0  |normal     -6.801000e+02      --            --      --     --    0.48        0  |normal     -6.801000e+02      --            --      --     --    0.29        0  |normal     -6.801000e+02      --            --      --     --    0.73        0  |
gasnet_al2                  724   136  1013 min  7.040332e+03  7.114133e+03  |normal     -6.801000e+02      --            --      --     --    1.45        0  |normal     -6.801000e+02      --            --      --     --    0.47        0  |normal     -6.801000e+02      --            --      --     --    0.28        0  |normal     -6.801000e+02      --            --      --     --    0.73        0  |
gasnet_al3                  724   136  1013 min  7.280397e+03  7.363315e+03  |normal     -6.801000e+02      --            --      --     --    1.42        0  |normal     -6.801000e+02      --            --      --     --    0.50        0  |normal     -6.801000e+02      --            --      --     --    0.26        0  |normal     -6.801000e+02      --            --      --     --    0.83        0  |
gasnet_al4                  724   136  1013 min  7.345979e+03  7.429707e+03  |normal     -6.801000e+02      --            --      --     --    1.46        0  |normal     -6.801000e+02      --            --      --     --    0.52        0  |normal     -6.801000e+02      --            --      --     --    0.29        0  |normal     -6.801000e+02      --            --      --     --    0.73        0  |
gasnet_al5                  724   136  1013 min  7.307600e+03  7.385113e+03  |normal     -6.801000e+02      --            --      --     --    1.27        0  |normal     -6.801000e+02      --            --      --     --    0.50        0  |normal     -6.801000e+02      --            --      --     --    0.27        0  |normal     -6.801000e+02      --            --      --     --    0.83        0  |
gasprod_sarawak01           131    38   246 min -3.244540e+04 -3.244540e+04  |normal     -3.308540e+04    1.97 -3.243540e+04    0.03   2.00    0.57        0  |normal     -3.308540e+04    1.97 -3.243540e+04    0.03   2.00    0.44        0  |normal     -3.308540e+04    1.97 -3.243540e+04    0.03   2.00    0.44        0  |normal     -3.308540e+04    1.97 -3.243540e+04    0.03   2.00    0.46        0  |
gasprod_sarawak16          1526    38  2796 min -3.239818e+04 -3.227122e+04  |normal     -3.243478e+04      -- -3.209396e+04      --   1.06   15.35        0  |normal     -3.243478e+04      -- -3.209396e+04      --   1.06   14.26        0  |normal     -3.243478e+04      -- -3.209396e+04      --   1.06   14.16        0  |normal     -3.243478e+04      -- -3.209396e+04      --   1.06   14.58        0  |
gasprod_sarawak81          7571    38 13846 min -3.240010e+04 -3.227300e+04  |normal     -3.243061e+04      -- -3.210046e+04      --   1.03  122.26       84  |normal     -3.243519e+04      -- -3.210046e+04      --   1.04  126.39        0  |normal     -3.243519e+04      -- -3.210046e+04      --   1.04  127.06        0  |normal     -3.243519e+04      -- -3.210046e+04      --   1.04  128.22        0  |
gastrans                    106    21   170 min  8.908584e+01  8.908584e+01  |normal      8.908584e+01    0.00  8.908584e+01    0.00   0.00    0.25        0  |normal      8.908584e+01    0.00  8.908584e+01    0.00   0.00    0.14        0  |normal      8.908584e+01    0.00  8.908584e+01    0.00   0.00    0.15        0  |normal      8.908584e+01    0.00  8.908584e+01    0.00   0.00    0.18        0  |
gastrans040                 279    48   598 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf    0.88        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    0.15        0  |normal      0.000000e+00    0.00            --     inf    inf    0.47        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    0.14        0  |
gastrans135                1193   232  2642 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   10.80        0  |normal      0.000000e+00    0.00            --     inf    inf    6.51        0  |normal      0.000000e+00    0.00            --     inf    inf    6.30        0  |normal      0.000000e+00    0.00            --     inf    inf    8.47        0  |
gastrans582_cold13         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   17.68        0  |normal      0.000000e+00    0.00            --     inf    inf   12.89        0  |normal      0.000000e+00    0.00            --     inf    inf    9.83        0  |normal      0.000000e+00    0.00            --     inf    inf   15.83        0  |
gastrans582_cold13_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   18.00        0  |normal      0.000000e+00    0.00            --     inf    inf    8.26        0  |normal      0.000000e+00    0.00            --     inf    inf   10.05        0  |normal      0.000000e+00    0.00            --     inf    inf   10.51        0  |
gastrans582_cold17         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   17.86        0  |normal      0.000000e+00    0.00            --     inf    inf    8.28        0  |normal      0.000000e+00    0.00            --     inf    inf    7.70        0  |normal      0.000000e+00    0.00            --     inf    inf   13.61        0  |
gastrans582_cold17_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   17.23        0  |normal      0.000000e+00    0.00            --     inf    inf    8.47        0  |normal      0.000000e+00    0.00            --     inf    inf    7.88        0  |normal      0.000000e+00    0.00            --     inf    inf   11.78        0  |
gastrans582_cool12         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   18.85        0  |normal      0.000000e+00    0.00            --     inf    inf    8.53        0  |normal      0.000000e+00    0.00            --     inf    inf    8.55        0  |normal      0.000000e+00    0.00            --     inf    inf   11.37        0  |
gastrans582_cool12_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   16.37        0  |normal      0.000000e+00    0.00            --     inf    inf    8.02        0  |normal      0.000000e+00    0.00            --     inf    inf    8.48        0  |normal      0.000000e+00    0.00            --     inf    inf   13.48        0  |
gastrans582_cool14         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   17.73        0  |normal      0.000000e+00    0.00            --     inf    inf    7.96        0  |normal      0.000000e+00    0.00            --     inf    inf    7.81        0  |normal      0.000000e+00    0.00            --     inf    inf   12.81        0  |
gastrans582_cool14_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   20.91        0  |normal      0.000000e+00    0.00            --     inf    inf   10.72        0  |normal      0.000000e+00    0.00            --     inf    inf   10.69        0  |normal      0.000000e+00    0.00            --     inf    inf   13.13        0  |
gastrans582_freezing30     2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   17.69        0  |normal      0.000000e+00    0.00            --     inf    inf    9.85        0  |normal      0.000000e+00    0.00            --     inf    inf    7.54        0  |normal      0.000000e+00    0.00            --     inf    inf   16.07        0  |
gastrans582_freezing30_95  2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   17.94        0  |normal      0.000000e+00    0.00            --     inf    inf    9.64        0  |normal      0.000000e+00    0.00            --     inf    inf    8.07        0  |normal      0.000000e+00    0.00            --     inf    inf   13.29        0  |
gastrans582_mild10         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   19.26        0  |normal      0.000000e+00    0.00            --     inf    inf   10.91        0  |normal      0.000000e+00    0.00            --     inf    inf   11.09        0  |normal      0.000000e+00    0.00            --     inf    inf   13.56        0  |
gastrans582_mild10_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   20.62        0  |normal      0.000000e+00    0.00            --     inf    inf   10.75        0  |normal      0.000000e+00    0.00            --     inf    inf   11.20        0  |normal      0.000000e+00    0.00            --     inf    inf   12.98        0  |
gastrans582_mild11         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   21.59        0  |normal      0.000000e+00    0.00            --     inf    inf   13.25        0  |normal      0.000000e+00    0.00            --     inf    inf   10.06        0  |normal      0.000000e+00    0.00            --     inf    inf   17.54        0  |
gastrans582_mild11_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   16.92        0  |normal      0.000000e+00    0.00            --     inf    inf   10.05        0  |normal      0.000000e+00    0.00            --     inf    inf    8.61        0  |normal      0.000000e+00    0.00            --     inf    inf   13.54        0  |
gastrans582_warm15         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   21.20        0  |normal      0.000000e+00    0.00            --     inf    inf   13.72        0  |normal      0.000000e+00    0.00            --     inf    inf   10.83        0  |normal      0.000000e+00    0.00            --     inf    inf   16.27        0  |
gastrans582_warm15_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   20.12        0  |normal      0.000000e+00    0.00            --     inf    inf   12.28        0  |normal      0.000000e+00    0.00            --     inf    inf   10.36        0  |normal      0.000000e+00    0.00            --     inf    inf   14.37        0  |
gastrans582_warm31         2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   19.64        0  |normal      0.000000e+00    0.00            --     inf    inf   13.97        0  |normal      0.000000e+00    0.00            --     inf    inf    9.11        0  |normal      0.000000e+00    0.00            --     inf    inf   16.33        0  |
gastrans582_warm31_95      2186   250  4031 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00            --     inf    inf   19.47        0  |normal      0.000000e+00    0.00            --     inf    inf   11.97        0  |normal      0.000000e+00    0.00            --     inf    inf    9.11        0  |normal      0.000000e+00    0.00            --     inf    inf   14.59        0  |
gear4                         6     4     2 min  1.643428e+00  1.643428e+00  |normal      0.000000e+00     inf  1.651197e+02   Large    inf    0.22        0  |iterlim     0.000000e+00     inf  1.651197e+02   Large    inf    0.13        0  |iterlim     0.000000e+00     inf  1.651197e+02   Large    inf    0.12        0  |normal      0.000000e+00     inf  1.651197e+02   Large    inf    0.18        0  |
genpooling_lee1              49     9    90 min -4.640082e+03 -4.640082e+03  |normal     -6.366480e+03   37.21 -4.381813e+03    5.89  45.29    0.30        0  |normal     -6.366480e+03   37.21 -4.381813e+03    5.89  45.29    0.11        0  |normal     -6.366480e+03   37.21 -4.381813e+03    5.89  45.29    0.11        0  |normal     -6.366480e+03   37.21 -4.381813e+03    5.89  45.29    0.26        0  |
genpooling_lee2              53     9   104 min -3.849265e+03 -3.849265e+03  |normal     -6.366480e+03   65.39 -3.137128e+03   22.70 102.94    0.31        0  |normal     -6.366480e+03   65.39            --     inf     --    0.10        0  |normal     -6.366480e+03   65.39            --     inf     --    0.09        0  |normal     -6.366480e+03   65.39 -3.137128e+03   22.70 102.94    0.25        0  |
genpooling_meyer04          118    55   153 min  1.086187e+06  1.086187e+06  |normal      1.027659e+05  956.95  2.461052e+06  126.58  Large    0.51        0  |normal      1.027659e+05  956.95            --     inf     --    0.13        0  |normal      1.027659e+05  956.95            --     inf     --    0.13        0  |normal      1.027659e+05  956.95  2.461052e+06  126.58  Large    0.42        0  |
ghg_1veh                     29    12    50 min  7.781635e+00  7.781635e+00  |normal     -3.141948e+01     inf  7.781635e+00    0.00    inf    0.34        0  |normal     -3.141948e+01     inf  7.843838e+00    0.80    inf    0.08        0  |normal     -3.141948e+01     inf  7.781635e+00    0.00    inf    0.09        0  |normal     -3.141948e+01     inf  7.781635e+00    0.00    inf    0.18        0  |
ghg_2veh                     57    18    92 min  7.096175e+00  7.770905e+00  |normal      0.000000e+00      --  8.060367e+00      --    inf    0.66        0  |normal      0.000000e+00      --  8.060367e+00      --    inf    0.18        0  |normal      0.000000e+00      --  8.060367e+00      --    inf    0.18        0  |normal      0.000000e+00      --  8.060367e+00      --    inf    0.25        0  |
gkocis                       11     3    10 min -1.923099e+00 -1.923099e+00  |iterlim    -6.388889e+00  232.22 -1.923099e+00   -0.00 232.22    0.14        0  |normal     -6.388889e+00  232.22 -1.923099e+00    0.00 232.22    0.05        0  |normal     -6.388889e+00  232.22 -1.923099e+00    0.00 232.22    0.05        0  |iterlim    -6.388889e+00  232.22 -1.923099e+00   -0.00 232.22    0.11        0  |
hadamard_4                   17    16     1 max  3.000000e+00  3.000000e+00  |normal      3.000000e+00    0.00  3.000000e+00    0.00   0.00    0.08       39  |iterlim     1.200000e+01  300.00  0.000000e+00     inf    inf    0.05        0  |normal      3.000000e+00    0.00  3.000000e+00    0.00   0.00    0.06       39  |iterlim     1.200000e+01  300.00  0.000000e+00     inf    inf    0.06        0  |
hadamard_5                   26    25     1 max  5.000000e+00  5.000000e+00  |normal      5.000000e+00    0.00  5.000000e+00   -0.00   0.00   16.59     2183  |iterlim     6.000000e+01   Large  0.000000e+00     inf    inf    0.07        0  |normal      5.000000e+00    0.00  5.000000e+00   -0.00   0.00   16.04     2183  |iterlim     6.000000e+01   Large  0.000000e+00     inf    inf    0.06        0  |
hda                         722    13   869 min -5.964534e+03 -5.964534e+03  |normal              -inf     inf            --     inf    inf    0.10        0  |--                    --     inf            --     inf     --      --       -- !|normal               inf     inf           inf     inf   0.00    0.09        0 !|--                    --     inf            --     inf     --      --       -- !|
heatexch_gen2               148    16   230 min  5.799957e+05  6.358388e+05  |normal      1.590013e+03      --            --      --     --    0.50        0  |normal      1.590013e+03      --            --      --     --    0.36        0  |normal      1.590013e+03      --            --      --     --    0.37        0  |normal      1.590013e+03      --            --      --     --    0.50        0  |
heatexch_spec1               56    12    64 min  1.544987e+05  1.549973e+05  |normal      0.000000e+00      --  1.549973e+05      --    inf    0.66        0  |normal      0.000000e+00      --  1.549973e+05      --    inf    0.10        0  |normal      0.000000e+00      --  1.549973e+05      --    inf    0.11        0  |normal      0.000000e+00      --  1.549973e+05      --    inf    0.60        0  |
