                                   Instance                                    |                                  Scb2804m@1                                  |                                   boaos@1                                    |                                    scip@1                                    |
fo8_ar4_1                    144    56    347 min  2.238190e+01  2.238190e+01  |normal      2.238190e+01    0.00  2.238190e+01   -0.00   0.00  67.51   79081  |timelim    -1.400000e-07     inf           inf     inf    inf 903.16       0  |normal      2.238190e+01    0.00  2.238190e+01   -0.00   0.00  32.09   22949  |
fo8_ar5_1                    144    56    347 min  2.238190e+01  2.238190e+01  |normal      2.238190e+01    0.00  2.238190e+01   -0.00   0.00 232.01  373902  |timelim    -1.400000e-07     inf           inf     inf    inf 904.56       0  |normal      2.238190e+01    0.00  2.238190e+01   -0.00   0.00  94.56   76240  |
fo9                          182    72    343 min  2.346429e+01  2.346429e+01  |iterlim     2.036097e+01   15.24  2.346429e+01   -0.00  15.24 691.81  813598  |timelim    -1.600000e-07     inf           inf     inf    inf 904.02       0  |normal      2.346428e+01    0.00  2.346428e+01   -0.00   0.00 351.12  257261  |
fo9_ar25_1                   180    72    435 min  3.218347e+01  3.218643e+01  |iterlim     2.767381e+01      --  3.281410e+01      --  18.57 758.60  758140  |timelim    -1.520406e+11      --           inf      --    inf 919.80       0  |timelim     2.841256e+01      --  3.224999e+01      --  13.51 900.00  677951  |
fo9_ar2_1                    180    72    435 min  3.262466e+01  3.262500e+01  |iterlim     2.904358e+01      --  3.262499e+01      --  12.33 766.23  670372  |timelim    -1.362082e+11      --           inf      --    inf 907.73       0  |timelim     2.976418e+01      --  3.262499e+01      --   9.61 900.00  666544  |
fo9_ar3_1                    180    72    435 min  2.481548e+01  2.481548e+01  |normal      2.481548e+01    0.00  2.481548e+01   -0.00   0.00 624.10  600062  |timelim    -1.627881e+11     inf           inf     inf    inf 919.55       0  |normal      2.481548e+01    0.00  2.481548e+01   -0.00   0.00 230.01  192521  |
fo9_ar4_1                    180    72    435 min  2.346429e+01  2.346429e+01  |normal      2.346429e+01   -0.00  2.346429e+01    0.00   0.00 422.83  442841  |timelim    -9.883960e+10     inf           inf     inf    inf 910.73       0  |normal      2.346428e+01    0.00  2.346428e+01   -0.00   0.00 163.26  124716  |
fo9_ar5_1                    180    72    435 min  2.346429e+01  2.346429e+01  |iterlim     2.256904e+01    3.97  2.346429e+01   -0.00   3.97 851.66  907059  |timelim    -2.290013e+11     inf           inf     inf    inf 911.23       0  |timelim     1.926951e+01   21.77  2.683106e+01   14.35  39.24 900.00  554880  |
gams01                       145   110   1268 min  1.851874e+03  2.138020e+04  |iterlim     1.981100e+03      --  2.246803e+04      --  Large 709.48  115071  |timelim     2.342965e+10      --           inf      --    inf 902.05       0 !|timelim     1.049776e+03      --  2.341675e+04      --  Large 900.00   25821  |
gbd                            4     3      4 min  2.200000e+00  2.200000e+00  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00   0.04       0  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00   0.00       0  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00   0.01       1  |
hybriddynamic_fixed           71    10     79 min  1.473778e+00  1.473778e+00  |normal      1.473778e+00    0.00  1.473778e+00    0.00   0.00   0.07       0  |normal      1.473778e+00    0.00  1.473778e+00    0.00   0.00   0.01       0  |normal      1.473778e+00    0.00  1.473778e+00    0.00   0.00   0.00       1  |
ibs2                        3010  1500   1821 min  4.449534e+00  4.452848e+00  |timelim     4.449131e+00      --           inf      --    inf 911.16     497  |timelim    -2.765017e+11      --           inf      --    inf 904.43       0  |timelim     4.427151e+00      --           inf      --    inf 900.00    9512  |
jit1                          25     4     32 min  1.739833e+05  1.739833e+05  |normal      1.739833e+05    0.00  1.739833e+05   -0.00   0.00   0.19       2  |normal      1.739833e+05    0.00  1.739833e+05   -0.00  -0.00   0.09       0  |normal      1.738734e+05    0.06  1.739833e+05   -0.00   0.06   0.15      90  |
m3                            26     6     43 min  3.780000e+01  3.780000e+01  |normal      3.780000e+01    0.00  3.780000e+01   -0.00   0.00   0.22      17  |normal      3.780000e+01    0.00  3.780000e+01   -0.00   0.00   0.03       0  |normal      3.780000e+01    0.00  3.780000e+01    0.00   0.00   0.33      11  |
m6                            86    30    157 min  8.225688e+01  8.225688e+01  |normal      8.225688e+01    0.00  8.225688e+01   -0.00   0.00   2.72     992  |normal      8.225688e+01    0.00  8.225688e+01    0.00   0.00  10.77       0  |normal      8.225688e+01    0.00  8.225688e+01   -0.00   0.00   1.58     592  |
m7                           114    42    211 min  1.067569e+02  1.067569e+02  |normal      1.067569e+02    0.00  1.067569e+02   -0.00   0.00   5.80    6137  |normal      1.067569e+02   -0.00  1.067569e+02   -0.00  -0.00 149.74       0  |normal      1.067569e+02    0.00  1.067569e+02   -0.00   0.00   4.82    2658  |
m7_ar25_1                    112    42    269 min  1.435850e+02  1.435850e+02  |normal      1.435850e+02    0.00  1.435850e+02   -0.00   0.00   2.04     525  |normal      1.435850e+02    0.00  1.435850e+02   -0.00  -0.00  58.31       0  |normal      1.435850e+02    0.00  1.435850e+02   -0.00   0.00   1.64     991  |
m7_ar2_1                     112    42    269 min  1.902350e+02  1.902350e+02  |normal      1.902350e+02    0.00  1.902350e+02   -0.00   0.00   9.69   11860  |normal      1.902350e+02    0.00  1.902350e+02   -0.00  -0.00  85.86       0  |normal      1.902350e+02    0.00  1.902350e+02   -0.00   0.00   9.14    9831  |
m7_ar3_1                     112    42    269 min  1.435850e+02  1.435850e+02  |normal      1.435850e+02    0.00  1.435850e+02   -0.00   0.00   8.37    7684  |normal      1.435850e+02    0.00  1.435850e+02   -0.00  -0.00 235.15       0  |normal      1.435850e+02    0.00  1.435850e+02   -0.00   0.00   8.63    7812  |
m7_ar4_1                     112    42    269 min  1.067569e+02  1.067569e+02  |normal      1.067569e+02   -0.00  1.067569e+02    0.00   0.00   2.76    1617  |normal      1.067569e+02   -0.00  1.067569e+02    0.00  -0.00  92.93       0  |normal      1.067569e+02    0.00  1.067569e+02   -0.00   0.00   2.55     983  |
m7_ar5_1                     112    42    269 min  1.064600e+02  1.064600e+02  |normal      1.064600e+02    0.00  1.064600e+02   -0.00   0.00  14.39   27706  |normal      1.064600e+02    0.00  1.064600e+02   -0.00  -0.00 334.86       0  |normal      1.064294e+02    0.03  1.064600e+02   -0.00   0.03   6.88    4460  |
meanvar-orl400_05_e_8       1600   400   1603 min  9.814712e+01  9.948265e+01  |timelim     9.837969e+01      --  9.948260e+01      --   1.12 900.90  272040  |iterlim     9.760018e+01      --  1.012544e+02      --   3.74 897.93      66  |normal      9.939192e+01      --  9.948264e+01      --   0.09 108.44    3561  |
meanvarx                      35    14     44 min  1.436923e+01  1.436923e+01  |normal      1.436923e+01    0.00  1.436923e+01   -0.00   0.00   0.08       0  |normal      1.436923e+01    0.00  1.436923e+01   -0.00   0.00   0.02       0  |normal      1.436449e+01    0.03  1.437481e+01    0.04   0.07   0.05       1  |
meanvarxsc                    35    14     30 min            --  1.436923e+01  |normal               inf      --           inf      --   0.00   0.03       0 !|capabil             -inf      --           inf      --    inf     --      -- !|normal      1.436923e+01      --  1.436923e+01      --   0.00   0.14       5  |
netmod_dol1                 1998   462   3137 min -6.228883e-01 -5.600084e-01  |iterlim    -7.554519e-01      -- -5.600084e-01      --  34.90 893.99   16304  |timelim     5.957444e+11      --           inf      --    inf 901.74       0 !|timelim    -6.659480e-01      -- -5.600084e-01      --  18.92 900.00   10421  |
netmod_dol2                 1998   462   3080 min -5.600084e-01 -5.600084e-01  |normal     -5.600084e-01    0.00 -5.600084e-01    0.00   0.00 104.38    1246  |iterlim    -6.510147e-01   16.25           inf     inf    inf 898.71       0  |normal     -5.600084e-01    0.00 -5.600084e-01    0.00   0.00  33.22     142  |
netmod_kar1                  456   136    666 min -4.197896e-01 -4.197896e-01  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00  20.30    2579  |timelim     8.448125e+11     inf           inf     inf    inf 902.59       0 !|normal     -4.198998e-01    0.03 -4.197896e-01    0.00   0.03  10.74     599  |
netmod_kar2                  456   136    666 min -4.197896e-01 -4.197896e-01  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00  28.27    2523  |timelim     8.448125e+11     inf           inf     inf    inf 902.58       0 !|normal     -4.198998e-01    0.03 -4.197896e-01    0.00   0.03  10.70     599  |
no7_ar25_1                   112    42    269 min  1.078153e+02  1.078153e+02  |normal      1.078153e+02    0.00  1.078153e+02   -0.00   0.00 205.42  377102  |timelim    -2.072822e+11     inf           inf     inf    inf 903.87       0  |normal      1.078153e+02    0.00  1.078153e+02   -0.00   0.00  54.70   49084  |
no7_ar2_1                    112    42    269 min  1.078153e+02  1.078153e+02  |normal      1.078153e+02    0.00  1.078153e+02   -0.00   0.00 172.37  252998  |timelim    -1.878522e+11     inf           inf     inf    inf 903.71       0  |normal      1.078153e+02    0.00  1.078153e+02   -0.00   0.00  38.65   33080  |
no7_ar3_1                    112    42    269 min  1.078153e+02  1.078153e+02  |iterlim     1.040579e+02    3.61  1.078151e+02   -0.00   3.61 685.82 1012413  |timelim    -1.994590e+11     inf           inf     inf    inf 903.53       0  |normal      1.078153e+02    0.00  1.078153e+02   -0.00   0.00 135.27  144680  |
no7_ar4_1                    112    42    269 min  9.851840e+01  9.851840e+01  |normal      9.851840e+01    0.00  9.851840e+01   -0.00   0.00 172.30  296923  |timelim    -1.700551e+11     inf           inf     inf    inf 905.09       0  |normal      9.851840e+01    0.00  9.851840e+01   -0.00   0.00 133.44  130825  |
no7_ar5_1                    112    42    269 min  9.062267e+01  9.062267e+01  |normal      9.062267e+01    0.00  9.062267e+01   -0.00   0.00 135.48  234017  |timelim    -5.146095e+10     inf           inf     inf    inf 906.08       0  |normal      9.060234e+01    0.02  9.062264e+01   -0.00   0.02  98.73   82238  |
nvs03                          2     2      2 min  1.600000e+01  1.600000e+01  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00   0.05       0  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00   0.00       0  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00   0.02       3  |
nvs10                          2     2      2 min -3.108000e+02 -3.108000e+02  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00   0.06       0  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00   0.00       0  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00   0.01       1  |
nvs11                          3     3      3 min -4.310000e+02 -4.310000e+02  |normal     -4.310000e+02    0.00 -4.310000e+02    0.00   0.00   0.08       0  |normal     -4.310000e+02    0.00 -4.310000e+02    0.00   0.00   0.02       0  |normal     -4.314111e+02    0.10 -4.310000e+02    0.00   0.10   0.04       1  |
nvs12                          4     4      4 min -4.812000e+02 -4.812000e+02  |normal     -4.812000e+02    0.00 -4.812000e+02    0.00   0.00   0.20       6  |normal     -4.812000e+02    0.00 -4.812000e+02    0.00   0.00   0.04       0  |normal     -4.812000e+02    0.00 -4.812000e+02    0.00   0.00   0.08       5  |
nvs15                          3     3      1 min  1.000000e+00  1.000000e+00  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00   0.27       0  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00   0.02       0  |normal      9.990887e-01    0.09  1.000000e+00    0.00   0.09   0.04       1  |
o7                           114    42    211 min  1.316500e+02  1.316531e+02  |iterlim     1.026384e+02      --  1.316529e+02      --  28.27 637.28 1032414  |timelim    -4.118240e+10      --           inf      --    inf 906.83       0  |timelim     9.663014e+01      --  1.316531e+02      --  36.24 900.00  788740  |
o7_2                         114    42    211 min  1.169459e+02  1.169459e+02  |iterlim     1.059593e+02   10.37  1.169459e+02   -0.00  10.37 657.63 1264059  |timelim    -3.275932e+10     inf           inf     inf    inf 906.29       0  |timelim     1.005779e+02   16.27  1.169459e+02   -0.00  16.27 900.00  904758  |
o7_ar25_1                    112    42    269 min  1.404120e+02  1.404120e+02  |iterlim     1.249476e+02   12.38  1.404119e+02   -0.00  12.38 671.14  950318  |timelim    -2.648022e+11     inf           inf     inf    inf 903.58       0  |normal      1.404119e+02    0.00  1.404119e+02   -0.00   0.00 647.41  617325  |
o7_ar2_1                     112    42    269 min  1.404120e+02  1.404120e+02  |iterlim     1.289925e+02    8.85  1.404119e+02   -0.00   8.85 609.51  872418  |timelim    -1.549529e+11     inf           inf     inf    inf 903.88       0  |normal      1.404119e+02    0.00  1.404119e+02   -0.00   0.00 244.76  264708  |
o7_ar3_1                     112    42    269 min  1.379311e+02  1.379318e+02  |iterlim     1.253537e+02      --  1.379318e+02      --  10.03 638.86 1074368  |timelim    -1.157790e+11      --           inf      --    inf 904.57       0  |normal      1.379318e+02      --  1.379318e+02      --   0.00 748.03  811406  |
o7_ar4_1                     112    42    269 min  1.316508e+02  1.316531e+02  |iterlim     1.144067e+02      --  1.341666e+02      --  17.27 732.76 1218248  |timelim    -2.473015e+11      --           inf      --    inf 904.22       0  |timelim     1.064974e+02      --  1.341666e+02      --  25.98 900.00  796475  |
o7_ar5_1                     112    42    269 min  1.169458e+02  1.169458e+02  |iterlim     1.147400e+02    1.92  1.169458e+02   -0.00   1.92 668.86 1542218  |timelim    -4.800000e-07     inf           inf     inf    inf 904.46       0  |timelim     1.039538e+02   12.50  1.169458e+02   -0.00  12.50 900.00  797065  |
o8_ar4_1                     144    56    347 min  2.377622e+02  2.430707e+02  |iterlim     1.716273e+02      --  2.589570e+02      --  50.88 742.03  776214  |timelim    -8.200000e-07      --           inf      --    inf 905.65       0  |timelim     1.780769e+02      --  2.430707e+02      --  36.50 900.00  616405  |
o9_ar4_1                     180    72    435 min  2.361239e+02  2.361385e+02  |iterlim     1.671560e+02      --  2.645376e+02      --  58.26 886.08  881863  |timelim    -7.470449e+10      --           inf      --    inf 918.99       0  |timelim     1.647159e+02      --  2.361384e+02      --  43.36 900.00  565184  |
pedigree_ex1058             1058   999    867 min -2.202381e+04 -2.194487e+04  |timelim    -2.664144e+04      --           inf      --    inf 903.53      70  |iterlim     5.337950e+12      --           inf      --    inf 899.57       0 !|normal     -2.196679e+04      -- -2.194487e+04      --   0.10 378.55     608  |
pedigree_ex485               485   426    296 min -2.193157e+04 -2.193157e+04  |iterlim    -2.378568e+04    8.45           inf     inf    inf 824.81   10091  |timelim     8.099020e+12     inf           inf     inf    inf 900.44       0 !|normal     -2.194645e+04    0.07 -2.193157e+04    0.00   0.07  24.30     690  |
pedigree_ex485_2             485   426    296 min -2.576682e+04 -2.576682e+04  |iterlim    -2.589725e+04    0.51           inf     inf    inf 899.02    3836  |iterlim     1.853124e+15     inf           inf     inf    inf 899.77       0 !|normal     -2.576727e+04    0.00 -2.576311e+04    0.01   0.02   9.19       1  |
pedigree_sim2000            2001  1000    795 min            -- -9.820910e+03  |--                    --      --            --      --     --     --      -- !|timelim     4.886328e+12      --           inf      --    inf 900.19       0 !|timelim    -1.013626e+04      -- -7.454840e+03      --  35.97 975.31       1  |
pedigree_sim400              400   150    101 min -2.641440e+03 -2.588210e+03  |iterlim    -2.681052e+03      --           inf      --    inf 718.35     236  |iterlim     2.371803e+13      --           inf      --    inf 899.74       0 !|timelim    -2.644338e+03      -- -2.543730e+03      --   3.96 900.00    3514  |
pedigree_sp_top4_250         845   713    416 min -2.317619e+04 -2.317619e+04  |iterlim    -2.419872e+04    4.41           inf     inf    inf 898.79    4475  |iterlim     2.273066e+15     inf           inf     inf    inf 899.91       0 !|normal     -2.319918e+04    0.10 -2.317619e+04    0.00   0.10  57.08     900  |
pedigree_sp_top4_300         605   473    246 min -2.317619e+04 -2.317619e+04  |iterlim    -2.415688e+04    4.23           inf     inf    inf 842.65    5528  |timelim     1.224960e+15     inf           inf     inf    inf 901.53       0 !|normal     -2.317632e+04    0.00 -2.317619e+04    0.00   0.00  23.48     530  |
pedigree_sp_top4_350tr       269   262    147 min -2.300331e+04 -2.300331e+04  |iterlim    -2.413474e+04    4.92           inf     inf    inf 859.94   13885  |iterlim     1.232162e+13     inf           inf     inf    inf 899.99       0 !|normal     -2.302228e+04    0.08 -2.300331e+04    0.00   0.08  31.02    1181  |
pedigree_sp_top5_200        1390  1258    873 min -2.326425e+04 -2.317619e+04  |iterlim    -2.452871e+04      --           inf      --    inf 717.39    1133  |timelim     1.220531e+15      --           inf      --    inf 900.76       0 !|normal     -2.319690e+04      -- -2.317619e+04      --   0.09 233.12    1292  |
pedigree_sp_top5_250         967   835    538 min -2.323635e+04 -2.317619e+04  |iterlim    -2.446904e+04      --           inf      --    inf 873.67    4086  |timelim     1.723619e+15      --           inf      --    inf 900.36       0 !|normal     -2.319026e+04      -- -2.317619e+04      --   0.06 106.18    1563  |
portfol_buyin                 17     8     19 min  2.942380e-02  2.942380e-02  |normal      2.942380e-02    0.00  2.942380e-02    0.00   0.00   0.14       0  |normal      2.942380e-02    0.00  2.942380e-02    0.00   0.00   0.04       0  |normal      2.942380e-02    0.00  2.942380e-02   -0.00   0.00   0.17       0  |
portfol_card                  17     8     20 min  3.221766e-02  3.221766e-02  |normal      3.221766e-02    0.00  3.221766e-02    0.00   0.00   0.16       4  |normal      3.221766e-02   -0.00  3.221766e-02    0.00   0.00   0.03       0  |normal      3.221761e-02    0.00  3.221761e-02   -0.00   0.00   0.20       1  |
portfol_classical050_1       150    50    103 min -9.476067e-02 -9.476012e-02  |normal     -9.476012e-02      -- -9.476012e-02      --   0.00  19.45    2512  |error               -inf      --           inf      --    inf     --      -- !|normal     -9.476079e-02      -- -9.476079e-02      --   0.00  56.43   16256  |
portfol_classical200_2       600   200    403 min -1.189943e-01 -1.100882e-01  |iterlim    -1.239485e-01      -- -1.101012e-01      --  12.58 868.67  107996  |error               -inf      --           inf      --    inf     --      -- !|timelim    -1.274269e-01      -- -1.076786e-01      --  18.34 900.00   27779  |
portfol_roundlot              17     8     11 min  2.829022e-02  2.829063e-02  |normal      2.830268e-02      --  2.830268e-02      --   0.00   7.95  108725  |error               -inf      --           inf      --    inf     --      -- !|normal      2.827387e-02      --  2.838694e-02      --   0.40   0.14       1  |
procurement2mot              796    60    761 max  2.120707e+02  2.120707e+02  |normal              -inf     inf          -inf     inf   0.00   0.09       0 !|normal      2.120707e+02   -0.00  2.120707e+02    0.00   0.00  25.45       0  |normal      2.120708e+02    0.00  2.120708e+02   -0.00   0.00   1.59     118  |
ravempb                      112    54    186 min  2.695902e+05  2.695902e+05  |iterlim     2.636653e+05    2.25  2.695902e+05   -0.00   2.25   4.50     130  |normal      2.695902e+05    0.00  2.695902e+05   -0.00   0.00   0.59       0  |normal      2.695902e+05   -0.00  2.695902e+05    0.00   0.00   2.86      11  |
risk2bpb                     463    14    580 min -5.587614e+01 -5.587614e+01  |normal     -5.587614e+01   -0.00 -5.587614e+01    0.00   0.00   0.31       0  |normal     -5.587614e+01   -0.00 -5.587614e+01    0.00   0.00   0.12       0  |normal     -5.587661e+01    0.00 -5.587614e+01    0.00   0.00   0.15       1  |
rsyn0805h                    308    37    429 max  1.296121e+03  1.296121e+03  |normal      1.296121e+03    0.00  1.296121e+03   -0.00   0.00   0.32       0  |normal      1.296121e+03    0.00  1.296121e+03   -0.00  -0.00   0.12       0  |normal      1.296122e+03    0.00  1.296121e+03   -0.00   0.00   0.10       1  |
rsyn0805hfsg                 308    37    429 max  1.296121e+03  1.296121e+03  |normal      1.296121e+03    0.00  1.296121e+03   -0.00   0.00   0.33       0  |normal      1.296121e+03    0.00  1.296121e+03    0.00   0.00   0.08       0  |normal      1.296141e+03    0.00  1.296121e+03   -0.00   0.00   0.13       1  |
rsyn0805m                    170    69    286 max  1.296121e+03  1.296121e+03  |normal      1.295328e+03   -0.06  1.295328e+03    0.06   0.00   2.66      96  |normal      1.296121e+03    0.00  1.296121e+03   -0.00   0.00   1.84       0  |normal      1.297369e+03    0.10  1.296121e+03   -0.00   0.10   1.24     142  |
rsyn0805m02h                 700   148   1045 max  2.238397e+03  2.238397e+03  |normal      2.238400e+03    0.00  2.238400e+03   -0.00   0.00   2.18       5  |normal      2.238397e+03   -0.00  2.238397e+03    0.00  -0.00   3.18       0  |normal      2.239886e+03    0.07  2.238397e+03   -0.00   0.07   0.67       1  |
rsyn0805m02hfsg              700   148   1045 max  2.238395e+03  2.238395e+03  |normal      2.238399e+03    0.00  2.238399e+03   -0.00   0.00   2.31       0  |normal      2.238055e+03   -0.02  2.238055e+03    0.02  -0.00   2.79       0  |normal      2.240165e+03    0.08  2.238396e+03   -0.00   0.08   0.74       1  |
rsyn0805m02m                 360   148    769 max  2.238395e+03  2.238395e+03  |normal      2.238397e+03    0.00  2.238397e+03   -0.00   0.00  66.82    4977  |normal      2.238395e+03    0.00  2.238395e+03   -0.00   0.00 210.47       0  |normal      2.238396e+03    0.00  2.238396e+03   -0.00   0.00  12.15    4409  |
rsyn0805m03h                1050   222   1698 max  3.068933e+03  3.068933e+03  |normal      3.068938e+03    0.00  3.068938e+03   -0.00   0.00   2.45       0  |normal      3.068933e+03    0.00  3.068933e+03   -0.00   0.00   2.61       0  |normal      3.071945e+03    0.10  3.068934e+03   -0.00   0.10   1.22       1  |
rsyn0805m03hfsg             1050   222   1698 max  3.069083e+03  3.068931e+03  |normal      3.068934e+03      --  3.068934e+03      --   0.00   2.79       2  |normal      3.068931e+03      --  3.068931e+03      --  -0.00   2.38       0  |normal      3.071690e+03      --  3.068932e+03      --   0.09   1.19       1  |
rsyn0805m03m                 540   222   1284 max  3.068931e+03  3.068931e+03  |normal      2.672375e+03  -14.84  2.672375e+03   14.84   0.00  46.96    3899 !|timelim    -2.028259e+11     inf          -inf     inf    inf 901.07       0 !|normal      3.068932e+03    0.00  3.068932e+03   -0.00   0.00   8.92     747  |
rsyn0805m04h                1400   296   2438 max  7.174222e+03  7.174222e+03  |normal      7.174224e+03    0.00  7.174224e+03   -0.00   0.00   2.80       0  |normal      7.174222e+03    0.00  7.174222e+03   -0.00   0.00   1.42       0  |normal      7.174383e+03    0.00  7.174223e+03   -0.00   0.00   0.69       1  |
rsyn0805m04hfsg             1400   296   2438 max  7.174512e+03  7.174219e+03  |normal      7.174225e+03      --  7.174225e+03      --   0.00   2.74       0  |normal      7.174219e+03      --  7.174219e+03      --  -0.00   0.86       0  |normal      7.174684e+03      --  7.174220e+03      --   0.01   0.72       1  |
rsyn0805m04m                 720   296   1886 max  7.174219e+03  7.174219e+03  |normal      7.174220e+03    0.00  7.174220e+03   -0.00   0.00 121.85    4693  |normal      7.174219e+03    0.00  7.174219e+03   -0.00   0.00 704.58       0  |normal      7.174220e+03    0.00  7.174220e+03   -0.00   0.00  10.48     610  |
rsyn0810h                    343    42    483 max  1.721448e+03  1.721448e+03  |normal      1.721448e+03   -0.00  1.721448e+03    0.00   0.00   0.38       0  |normal      1.721448e+03    0.00  1.721448e+03   -0.00  -0.00   0.18       0  |normal      1.721448e+03    0.00  1.721448e+03   -0.00   0.00   0.12       1  |
rsyn0810hfsg                 343    42    483 max  1.721448e+03  1.721448e+03  |normal      1.721448e+03    0.00  1.721448e+03   -0.00   0.00   0.38       0  |normal      1.721448e+03    0.00  1.721448e+03   -0.00  -0.00   0.10       0  |normal      1.721473e+03    0.00  1.721448e+03   -0.00   0.00   0.11       1  |
rsyn0810m                    185    74    312 max  1.721448e+03  1.721448e+03  |normal      1.721448e+03    0.00  1.721448e+03   -0.00   0.00   2.35      51  |normal      1.721448e+03    0.00  1.721448e+03   -0.00   0.00   2.29       0  |normal      1.721448e+03    0.00  1.721448e+03   -0.00   0.00   1.91      35  |
rsyn0810m02h                 790   168   1188 max  1.741388e+03  1.741388e+03  |normal      1.741389e+03    0.00  1.741389e+03   -0.00   0.00   4.75      45  |normal      1.741388e+03    0.00  1.741388e+03   -0.00  -0.00   1.77       0  |normal      1.742875e+03    0.09  1.741388e+03   -0.00   0.09   1.95       1  |
rsyn0810m02hfsg              790   168   1188 max  1.741487e+03  1.741387e+03  |normal      1.741390e+03      --  1.741390e+03      --   0.00   7.87      30  |normal      1.741387e+03      --  1.741387e+03      --   0.00   1.33       0  |normal      1.742037e+03      --  1.741387e+03      --   0.04   1.50       1  |
rsyn0810m02m                 410   168    866 max  1.741387e+03  1.741387e+03  |normal      1.741391e+03    0.00  1.741391e+03   -0.00   0.00  66.57    6187  |normal      1.741387e+03    0.00  1.741387e+03   -0.00   0.00 501.41       0  |normal      1.741388e+03    0.00  1.741388e+03   -0.00   0.00  10.20    2577  |
rsyn0810m03h                1185   252   1935 max  2.722449e+03  2.722449e+03  |normal      2.722453e+03    0.00  2.722453e+03   -0.00   0.00  10.65      89  |normal      2.722449e+03    0.00  2.722449e+03   -0.00  -0.00   6.48       0  |normal      2.724200e+03    0.06  2.722451e+03   -0.00   0.06   4.59       1  |
rsyn0810m03hfsg             1185   252   1935 max  2.722707e+03  2.722448e+03  |normal      2.722450e+03      --  2.722450e+03      --   0.00   5.04      15  |normal      2.722448e+03      --  2.722448e+03      --  -0.00   9.79       0  |normal      2.724855e+03      --  2.722449e+03      --   0.09   2.69       1  |
rsyn0810m03m                 615   252   1452 max  2.722448e+03  2.722448e+03  |normal      2.449681e+03  -11.13  2.449681e+03   11.13   0.00  75.07    6020 !|timelim    -2.698764e+11     inf          -inf     inf    inf 908.70       0 !|normal      2.722449e+03    0.00  2.722449e+03   -0.00   0.00  13.00    2032  |
rsyn0810m04h                1580   336   2784 max  6.581937e+03  6.581937e+03  |normal      6.581944e+03    0.00  6.581944e+03   -0.00   0.00   4.10       0  |normal      6.580905e+03   -0.02  6.580905e+03    0.02   0.00   2.40       0  |normal      6.583082e+03    0.02  6.581938e+03   -0.00   0.02   1.02       1  |
rsyn0810m04hfsg             1580   336   2784 max  6.582552e+03  6.581934e+03  |normal      6.581942e+03      --  6.581942e+03      --   0.00   9.34      28  |normal      6.581934e+03      --  6.581934e+03      --  -0.00   2.56       0  |normal      6.583026e+03      --  6.581935e+03      --   0.02   1.15       1  |
rsyn0810m04m                 820   336   2140 max  6.581934e+03  6.581934e+03  |normal      6.581938e+03    0.00  6.581938e+03   -0.00   0.00 104.93    5410  |iterlim    -1.199387e+11     inf          -inf     inf    inf 899.73       0 !|normal      6.584108e+03    0.03  6.581936e+03   -0.00   0.03  11.56     552  |
rsyn0815h                    387    47    552 max  1.269926e+03  1.269926e+03  |normal      1.269927e+03    0.00  1.269927e+03   -0.00   0.00   0.81       0  |normal      1.269926e+03    0.00  1.269926e+03   -0.00   0.00   0.46       0  |normal      1.270935e+03    0.08  1.269926e+03   -0.00   0.08   0.62       1  |
rsyn0815hfsg                 387    47    552 max  1.269938e+03  1.269926e+03  |normal      1.269926e+03      --  1.269926e+03      --   0.00   1.01       1  |normal      1.269926e+03      --  1.269926e+03      --  -0.00   0.32       0  |normal      1.271090e+03      --  1.269926e+03      --   0.09   0.40       1  |
rsyn0815m                    205    79    347 max  1.269926e+03  1.269926e+03  |normal      1.269794e+03   -0.01  1.269794e+03    0.01   0.00   1.81      49  |normal      1.269926e+03    0.00  1.269926e+03   -0.00   0.00   6.46       0  |normal      1.269926e+03    0.00  1.269926e+03   -0.00   0.00   0.84     112  |
rsyn0815m02h                 898   188   1361 max  1.774399e+03  1.774399e+03  |normal      1.774401e+03    0.00  1.774401e+03   -0.00   0.00   3.50       7  |normal      1.774399e+03    0.00  1.774399e+03   -0.00   0.00   2.83       0  |normal      1.775764e+03    0.08  1.774399e+03   -0.00   0.08   1.38       1  |
rsyn0815m02hfsg              898   188   1361 max  1.774397e+03  1.774397e+03  |normal      1.774399e+03    0.00  1.774399e+03   -0.00   0.00   3.21      11  |normal      1.774397e+03    0.00  1.774397e+03   -0.00  -0.00   2.63       0  |normal      1.774545e+03    0.01  1.774397e+03   -0.00   0.01   0.93       1  |
