                                   Instance                                    |                                   Scp2804s@1                                   |                                     aecp@1                                     |                                     aoa@0                                      |                                    baron@0                                     |                                    dicopt@1                                    |                                     sbb@1                                      |
fo9_ar3_1                    180    72    435 min  2.481548e+01  2.481548e+01  |normal      2.481546e+01    0.00  2.481546e+01   -0.00   0.00   12.36   125221  |normal      2.481548e+01    0.00  2.481548e+01    0.00   0.00  161.78       --  |normal      2.481548e+01    0.00  2.481548e+01    0.00   0.00   35.54       --  |normal      2.479068e+01    0.10  2.481548e+01   -0.00   0.10   67.59      982  |normal      2.481548e+01    0.00  2.481548e+01    0.00   0.00   11.72       --  |timelim     8.794607e+00  182.17           inf     inf    inf  917.91    61989  |
fo9_ar4_1                    180    72    435 min  2.346429e+01  2.346429e+01  |normal      2.346429e+01    0.00  2.346429e+01   -0.00   0.00    6.61    73840  |normal      2.346428e+01    0.00  2.346429e+01    0.00   0.00  214.74       --  |normal      2.346429e+01   -0.00  2.346429e+01    0.00   0.00   43.96       --  |normal      2.344084e+01    0.10  2.346429e+01    0.00   0.10  108.97     3978  |normal      2.346429e+01   -0.00  2.346429e+01    0.00   0.00   28.06       --  |timelim     7.090057e+00  230.95           inf     inf    inf  912.18    44667  |
fo9_ar5_1                    180    72    435 min  2.346429e+01  2.346429e+01  |normal      2.346428e+01    0.00  2.346428e+01   -0.00   0.00   35.33   369355  |normal      2.346429e+01    0.00  2.346429e+01    0.00   0.00  213.87       --  |normal      2.346429e+01   -0.00  2.346429e+01    0.00   0.00   37.82       --  |normal      2.344083e+01    0.10  2.346427e+01   -0.00   0.10  499.97    40101  |normal      2.346429e+01   -0.00  2.346429e+01    0.00   0.00   99.12       --  |timelim     6.781749e+00  245.99           inf     inf    inf  908.18    34047  |
gams01                       145   110   1268 min  1.851874e+03  2.138020e+04  |timelim     1.291070e+03      --  2.148343e+04      --  Large  900.03  2254498  |timelim    -1.170954e+05      --  2.842727e+04      --    inf  902.39       --  |timelim     1.106442e+03      --  2.138020e+04      --  Large  921.10       --  |timelim     1.053482e+03      --  2.191879e+04      --  Large  900.00       60  |timelim             -inf      --  2.375141e+04      --    inf  900.01       --  |timelim     1.096200e+03      --  2.587659e+04      --  Large  909.10    22542  |
gbd                            4     3      4 min  2.200000e+00  2.200000e+00  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00    0.04        0  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00    0.06       --  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00    0.00       --  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00    0.02        0  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00    0.00       --  |normal      2.200000e+00    0.00  2.200000e+00    0.00   0.00    0.15        0  |
hybriddynamic_fixed           71    10     79 min  1.473778e+00  1.473778e+00  |normal      1.473778e+00    0.00  1.473778e+00    0.00   0.00    0.03        0  |normal      1.473778e+00    0.00  1.473778e+00    0.00   0.00    0.05       --  |normal      1.473778e+00    0.00  1.473778e+00    0.00   0.00    0.00       --  |normal      1.472305e+00    0.10  1.473778e+00    0.00   0.10    0.01        0  |normal      1.326400e+00   11.11  1.473778e+00    0.00  11.11    0.04       --  |normal      1.473270e+00    0.03  1.473778e+00    0.00   0.03    0.15        7  |
ibs2                        3010  1500   1821 min  4.449534e+00  4.452848e+00  |timelim     4.416033e+00      --  4.453772e+00      --   0.85  903.91    24731  |timelim     0.000000e+00      --  1.854462e+01      --    inf  902.01       --  |timelim     4.443000e+00      --  2.416870e+01      -- 443.97 1017.41       --  |timelim     0.000000e+00      --           inf      --    inf  900.00        0  |timelim     4.443001e+00      --  1.623653e+01      -- 265.44  900.00       --  |timelim     4.443001e+00      --           inf      --    inf  902.12      995  |
jit1                          25     4     32 min  1.739833e+05  1.739833e+05  |normal      1.739833e+05    0.00  1.739833e+05   -0.00   0.00    0.08        0  |normal      1.739833e+05    0.00  1.739833e+05   -0.00   0.00    0.16       --  |normal      1.739833e+05    0.00  1.739833e+05    0.00   0.00    0.02       --  |normal      1.738095e+05    0.10  1.739833e+05   -0.00   0.10    0.05        1  |normal      1.739833e+05    0.00  1.739833e+05   -0.00   0.00    0.13       --  |normal      1.738415e+05    0.08  1.739833e+05   -0.00   0.08    0.16        7  |
m3                            26     6     43 min  3.780000e+01  3.780000e+01  |normal      3.780000e+01    0.00  3.780000e+01   -0.00   0.00    0.05       19  |normal      3.780000e+01    0.00  3.780000e+01    0.00   0.00    0.23       --  |normal      3.780000e+01    0.00  3.780000e+01    0.00   0.00    0.02       --  |normal      3.776224e+01    0.10  3.780000e+01    0.00   0.10    0.16        1  |normal      3.780000e+01    0.00  3.780000e+01    0.00   0.00    0.09       --  |normal      3.780000e+01    0.00  3.780000e+01    0.00   0.00    0.24       52  |
m6                            86    30    157 min  8.225688e+01  8.225688e+01  |normal      8.225688e+01   -0.00  8.225688e+01    0.00   0.00    0.09      114  |normal      8.225688e+01    0.00  8.225688e+01    0.00   0.00    0.44       --  |normal      8.225688e+01   -0.00  8.225688e+01    0.00   0.00    0.07       --  |normal      8.217470e+01    0.10  8.225688e+01    0.00   0.10    0.15        1  |normal      8.228552e+01   -0.03  8.228552e+01    0.03   0.00    0.10       --  |normal      8.217660e+01    0.10  8.225688e+01    0.00   0.10  294.84    63195  |
m7                           114    42    211 min  1.067569e+02  1.067569e+02  |normal      1.067569e+02    0.00  1.067569e+02   -0.00   0.00    0.42     2958  |normal      1.067569e+02    0.00  1.067569e+02    0.00   0.00    1.27       --  |normal      1.067569e+02   -0.00  1.067569e+02    0.00   0.00    0.21       --  |normal      1.066502e+02    0.10  1.067569e+02    0.00   0.10    0.64        1  |normal      1.067569e+02   -0.00  1.067569e+02    0.00   0.00    0.61       --  |timelim     7.363494e+01   44.98  1.067569e+02    0.00  44.98  961.71   180459  |
m7_ar25_1                    112    42    269 min  1.435850e+02  1.435850e+02  |normal      1.435850e+02    0.00  1.435850e+02   -0.00   0.00    0.10        0  |normal      1.435850e+02    0.00  1.435850e+02   -0.00   0.00    0.50       --  |normal      1.435850e+02    0.00  1.435850e+02    0.00   0.00    0.10       --  |normal      1.434416e+02    0.10  1.435850e+02    0.00   0.10    0.26        1  |normal      1.435850e+02    0.00  1.435850e+02    0.00   0.00    0.56       --  |timelim     1.332817e+02    7.73  1.435850e+02    0.00   7.73  929.33   144893  |
m7_ar2_1                     112    42    269 min  1.902350e+02  1.902350e+02  |normal      1.902344e+02    0.00  1.902344e+02   -0.00   0.00    0.42     2011  |normal      1.902350e+02    0.00  1.902350e+02    0.00   0.00    1.42       --  |normal      1.902350e+02    0.00  1.902350e+02    0.00   0.00    0.55       --  |normal      1.900450e+02    0.10  1.902350e+02   -0.00   0.10    2.87       93  |normal      1.902350e+02    0.00  1.902350e+02    0.00   0.00    1.84       --  |normal      1.900479e+02    0.10  1.902350e+02    0.00   0.10  751.26   152570  |
m7_ar3_1                     112    42    269 min  1.435850e+02  1.435850e+02  |normal      1.435850e+02    0.00  1.435850e+02    0.00   0.00    0.52     3220  |normal      1.435850e+02    0.00  1.435850e+02   -0.00  -0.00    1.80       --  |normal      1.435850e+02    0.00  1.435850e+02    0.00   0.00    0.76       --  |normal      1.434416e+02    0.10  1.435850e+02    0.00   0.10    2.72       49  |normal      1.435850e+02    0.00  1.435850e+02    0.00   0.00    1.89       --  |timelim     1.068362e+02   34.40  1.560380e+02    8.67  46.05  938.13   132778  |
m7_ar4_1                     112    42    269 min  1.067569e+02  1.067569e+02  |normal      1.067569e+02   -0.00  1.067569e+02    0.00   0.00    0.32      983  |normal      1.067569e+02   -0.00  1.067569e+02    0.00   0.00    0.70       --  |normal      1.067569e+02   -0.00  1.067569e+02    0.00   0.00    0.32       --  |normal      1.066502e+02    0.10  1.067569e+02    0.00   0.10    0.38        1  |normal      1.067569e+02   -0.00  1.067569e+02    0.00   0.00    0.64       --  |timelim     6.538258e+01   63.28  1.239644e+02   16.12  89.60  940.94   122687  |
m7_ar5_1                     112    42    269 min  1.064600e+02  1.064600e+02  |normal      1.064600e+02    0.00  1.064600e+02   -0.00   0.00    0.53     1979  |normal      1.064600e+02    0.00  1.064600e+02   -0.00   0.00    1.24       --  |normal      1.064600e+02    0.00  1.064600e+02   -0.00   0.00    0.36       --  |normal      1.063537e+02    0.10  1.064600e+02   -0.00   0.10    0.64        1  |normal      1.064600e+02    0.00  1.064600e+02   -0.00   0.00    0.81       --  |timelim     7.861537e+01   35.42  1.064600e+02   -0.00  35.42  930.20   113499  |
meanvar-orl400_05_e_8       1600   400   1603 min  9.814712e+01  9.948265e+01  |normal      9.948265e+01      --  9.948265e+01      --   0.00    1.80        0  |timelim     9.643224e+01      --  9.948265e+01      --   3.16  902.18       --  |timelim     9.789234e+01      --  9.948265e+01      --   1.62  921.72       --  |timelim     9.645123e+01      --  9.948265e+01      --   3.14  906.87        8  |other       9.771752e+01      --  1.001716e+02      --   2.51   54.90       -- !|normal      9.938333e+01      --  9.948265e+01      --   0.10  254.87     3159  |
meanvarx                      35    14     44 min  1.436923e+01  1.436923e+01  |normal      1.436923e+01   -0.00  1.436923e+01    0.00   0.00    0.06        0  |normal      1.436923e+01    0.00  1.436923e+01    0.00   0.00    0.19       --  |normal      1.436923e+01   -0.00  1.436923e+01    0.00   0.00    0.02       --  |normal      1.436923e+01   -0.00  1.436923e+01    0.00   0.00    0.07        9  |normal      1.436923e+01   -0.00  1.436923e+01    0.00   0.00    0.06       --  |normal      1.436923e+01   -0.00  1.436923e+01    0.00   0.00    0.16        9  |
meanvarxsc                    35    14     30 min            --  1.436923e+01  |normal      1.436923e+01      --  1.436923e+01      --   0.00    0.04        0  |capabil             -inf      --           inf      --    inf    0.00       -- !|normal               inf      --           inf      --   0.00    0.00       -- !|capabil             -inf      --           inf      --    inf    0.00       -- !|capabil             -inf      --           inf      --    inf    0.00       -- !|normal      1.436923e+01      --  1.436923e+01      --   0.00    0.17       13  |
netmod_dol1                 1998   462   3137 min -6.228883e-01 -5.600084e-01  |normal     -5.600084e-01      -- -5.600084e-01      --   0.00  534.32        0  |timelim    -6.473087e-01      -- -5.121443e-01      --  26.39  902.02       --  |timelim    -6.485687e-01      -- -5.600084e-01      --  15.81  921.09       --  |timelim    -7.559262e-01      -- -5.600084e-01      --  34.98  900.00     1157  |timelim    -6.207349e-01      -- -5.512896e-01      --  12.60  900.02       --  |timelim    -6.828334e-01      -- -5.433613e-01      --  25.67  902.21     2582  |
netmod_dol2                 1998   462   3080 min -5.600084e-01 -5.600084e-01  |normal     -5.600084e-01    0.00 -5.600084e-01    0.00   0.00   14.29        0  |normal     -5.600084e-01    0.00 -5.600084e-01    0.00   0.00   95.94       --  |normal     -5.600084e-01    0.00 -5.600084e-01    0.00   0.00   10.63       --  |normal     -5.605689e-01    0.10 -5.600084e-01    0.00   0.10   32.12       15  |normal     -5.600084e-01    0.00 -5.600084e-01    0.00   0.00   72.72       --  |normal     -5.605263e-01    0.09 -5.600084e-01    0.00   0.09  273.77     2105  |
netmod_kar1                  456   136    666 min -4.197896e-01 -4.197896e-01  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00    0.34        0  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00   24.57       --  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00    1.38       --  |timelim    -4.328825e-01    3.12 -4.197896e-01    0.00   3.12  900.00    34525  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00   22.60       --  |normal     -4.202091e-01    0.10 -4.197896e-01    0.00   0.10   60.18     5988  |
netmod_kar2                  456   136    666 min -4.197896e-01 -4.197896e-01  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00    0.35        0  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00   24.69       --  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00    1.14       --  |timelim    -4.328825e-01    3.12 -4.197896e-01    0.00   3.12  900.00    34593  |normal     -4.197896e-01    0.00 -4.197896e-01    0.00   0.00   22.72       --  |normal     -4.202091e-01    0.10 -4.197896e-01    0.00   0.10   60.30     5988  |
no7_ar25_1                   112    42    269 min  1.078153e+02  1.078153e+02  |normal      1.078147e+02    0.00  1.078147e+02   -0.00   0.00    4.67    31246  |normal      1.078153e+02    0.00  1.078153e+02    0.00   0.00   64.24       --  |normal      1.078153e+02   -0.00  1.078153e+02    0.00   0.00    9.25       --  |normal      1.077076e+02    0.10  1.078153e+02   -0.00   0.10   17.25      425  |normal      1.078153e+02   -0.00  1.078153e+02    0.00   0.00   10.18       --  |timelim     5.304472e+01  103.25  1.455727e+02   35.02 174.43  933.18    88563  |
no7_ar2_1                    112    42    269 min  1.078153e+02  1.078153e+02  |normal      1.078152e+02    0.00  1.078152e+02   -0.00   0.00    2.49    27522  |normal      1.078153e+02    0.00  1.078153e+02    0.00   0.00   22.95       --  |normal      1.078153e+02   -0.00  1.078153e+02    0.00   0.00    5.34       --  |normal      1.077076e+02    0.10  1.078153e+02   -0.00   0.10    5.31      309  |normal      1.078663e+02   -0.05  1.078663e+02    0.05   0.00    9.26       --  |timelim     6.018549e+01   79.14  1.518602e+02   40.85 152.32  932.54    92294  |
no7_ar3_1                    112    42    269 min  1.078153e+02  1.078153e+02  |normal      1.078152e+02    0.00  1.078152e+02   -0.00   0.00   12.45    86099  |normal      1.078153e+02    0.00  1.078153e+02    0.00   0.00  132.30       --  |normal      1.078153e+02   -0.00  1.078153e+02    0.00   0.00   18.39       --  |normal      1.077076e+02    0.10  1.078153e+02   -0.00   0.10   27.15      415  |normal      1.078153e+02   -0.00  1.078153e+02    0.00   0.00   27.38       --  |timelim     4.305768e+01  150.40  1.480410e+02   37.31 243.82  924.87    79684  |
no7_ar4_1                    112    42    269 min  9.851840e+01  9.851840e+01  |normal      9.851839e+01    0.00  9.851839e+01   -0.00   0.00   14.73    31933  |normal      9.851840e+01    0.00  9.851840e+01    0.00   0.00  131.33       --  |normal      9.851840e+01   -0.00  9.851840e+01    0.00   0.00   10.62       --  |normal      9.841998e+01    0.10  9.851840e+01   -0.00   0.10   26.19      515  |normal      9.851840e+01   -0.00  9.851840e+01    0.00   0.00   50.61       --  |timelim     4.332626e+01  127.39  1.326720e+02   34.67 206.22  917.78    60562  |
no7_ar5_1                    112    42    269 min  9.062267e+01  9.062267e+01  |normal      9.062267e+01    0.00  9.062267e+01   -0.00   0.00    8.85    76519  |normal      9.062267e+01    0.00  9.062267e+01    0.00   0.00   75.45       --  |normal      9.062267e+01   -0.00  9.062267e+01    0.00   0.00   10.27       --  |normal      9.053214e+01    0.10  9.062267e+01   -0.00   0.10   14.62      303  |normal      9.062267e+01   -0.00  9.062267e+01    0.00   0.00   56.28       --  |timelim     4.313564e+01  110.09  1.377541e+02   52.01 219.35  918.61    63336  |
nvs03                          2     2      2 min  1.600000e+01  1.600000e+01  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00    0.05        0  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00    0.12       --  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00    0.01       --  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00    0.04        1  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00    0.05       --  |normal      1.600000e+01    0.00  1.600000e+01    0.00   0.00    0.16        8  |
nvs10                          2     2      2 min -3.108000e+02 -3.108000e+02  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00    0.04        0  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00    0.14       --  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00    0.02       --  |normal     -3.111111e+02    0.10 -3.108000e+02    0.00   0.10    0.03        1  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00    0.06       --  |normal     -3.108000e+02    0.00 -3.108000e+02    0.00   0.00    0.16        4  |
nvs11                          3     3      3 min -4.310000e+02 -4.310000e+02  |normal     -4.310000e+02    0.00 -4.310000e+02    0.00   0.00    0.05        0  |normal     -4.310000e+02    0.00 -4.310000e+02    0.00   0.00    0.18       --  |normal     -4.310000e+02    0.00 -4.310000e+02    0.00   0.00    0.03       --  |normal     -4.314314e+02    0.10 -4.310000e+02    0.00   0.10    0.04        1  |normal     -4.327700e+02    0.41 -4.310000e+02    0.00   0.41    0.05       --  |normal     -4.310000e+02    0.00 -4.310000e+02    0.00   0.00    0.16        8  |
nvs12                          4     4      4 min -4.812000e+02 -4.812000e+02  |normal     -4.812000e+02    0.00 -4.812000e+02    0.00   0.00    0.07        0  |normal     -4.812000e+02    0.00 -4.812000e+02    0.00   0.00    0.29       --  |normal     -4.812000e+02    0.00 -4.812000e+02    0.00   0.00    0.04       --  |normal     -4.816817e+02    0.10 -4.812000e+02    0.00   0.10    0.05        1  |normal     -4.812000e+02    0.00 -4.812000e+02    0.00   0.00    0.07       --  |normal     -4.812200e+02    0.00 -4.812000e+02    0.00   0.00    0.16        9  |
nvs15                          3     3      1 min  1.000000e+00  1.000000e+00  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.04        0  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.07       --  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.01       --  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.03        1  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.06       --  |normal      1.000000e+00    0.00  1.000000e+00    0.00   0.00    0.15        6  |
o7                           114    42    211 min  1.316500e+02  1.316531e+02  |normal      1.316526e+02      --  1.316526e+02      --   0.00   79.58   434680  |timelim     1.257638e+02      --  1.316531e+02      --   4.68  902.06       --  |normal      1.316531e+02      --  1.316531e+02      --   0.00  153.71       --  |normal      1.315216e+02      --  1.316531e+02      --   0.10  249.43     4061  |normal      1.316531e+02      --  1.316531e+02      --   0.00  827.53       --  |timelim     5.585147e+01      --  1.679699e+02      -- 200.74  936.27    91407  |
o7_2                         114    42    211 min  1.169459e+02  1.169459e+02  |normal      1.169459e+02    0.00  1.169459e+02   -0.00   0.00   35.56    80340  |normal      1.169459e+02    0.00  1.169459e+02   -0.00   0.00  426.09       --  |normal      1.169459e+02    0.00  1.169459e+02   -0.00   0.00   75.19       --  |normal      1.168291e+02    0.10  1.169459e+02   -0.00   0.10   78.52      437  |normal      1.169459e+02    0.00  1.169459e+02   -0.00   0.00  163.46       --  |timelim     5.056736e+01  131.27  1.311281e+02   12.13 159.31  929.27    86662  |
o7_ar25_1                    112    42    269 min  1.404120e+02  1.404120e+02  |normal      1.404119e+02    0.00  1.404119e+02   -0.00   0.00   24.19    90799  |normal      1.404120e+02    0.00  1.404120e+02    0.00   0.00  209.75       --  |normal      1.404120e+02   -0.00  1.404120e+02    0.00   0.00   42.13       --  |normal      1.402717e+02    0.10  1.404120e+02    0.00   0.10   62.48     1569  |normal      1.404120e+02   -0.00  1.404120e+02    0.00   0.00  123.21       --  |timelim     6.292239e+01  123.15  1.658317e+02   18.10 163.55  930.59    82620  |
o7_ar2_1                     112    42    269 min  1.404120e+02  1.404120e+02  |normal      1.404120e+02    0.00  1.404120e+02   -0.00   0.00   10.23     6747  |normal      1.404120e+02   -0.00  1.404120e+02    0.00   0.00   74.71       --  |normal      1.404120e+02   -0.00  1.404120e+02    0.00   0.00   16.83       --  |normal      1.402717e+02    0.10  1.404120e+02    0.00   0.10   27.39      894  |normal      1.404120e+02   -0.00  1.404120e+02    0.00   0.00   28.52       --  |timelim     7.502257e+01   87.16           inf     inf    inf  942.14   111225  |
o7_ar3_1                     112    42    269 min  1.379311e+02  1.379318e+02  |normal      1.379318e+02      --  1.379318e+02      --   0.00   41.93   284286  |normal      1.379318e+02      --  1.379318e+02      --   0.00  431.10       --  |normal      1.379318e+02      --  1.379318e+02      --   0.00   84.84       --  |normal      1.377940e+02      --  1.379318e+02      --   0.10   81.43      500  |normal      1.379318e+02      --  1.379318e+02      --   0.00  282.73       --  |timelim     6.403555e+01      --  1.862720e+02      -- 190.89  924.66    77903  |
o7_ar4_1                     112    42    269 min  1.316508e+02  1.316531e+02  |normal      1.316530e+02      --  1.316530e+02      --   0.00   71.81  1077255  |normal      1.316531e+02      --  1.316531e+02      --   0.00  794.59       --  |normal      1.316531e+02      --  1.316531e+02      --   0.00  112.02       --  |normal      1.315216e+02      --  1.316531e+02      --   0.10  116.69      741  |normal      1.316531e+02      --  1.316531e+02      --   0.00  666.08       --  |timelim     5.664348e+01      --  1.607473e+02      -- 183.79  915.28    53696  |
o7_ar5_1                     112    42    269 min  1.169458e+02  1.169458e+02  |normal      1.169458e+02    0.00  1.169458e+02   -0.00   0.00   32.30   190041  |normal      1.169458e+02    0.00  1.169458e+02   -0.00   0.00   83.77       --  |normal      1.169458e+02    0.00  1.169458e+02   -0.00   0.00   59.21       --  |normal      1.168290e+02    0.10  1.169458e+02   -0.00   0.10   47.88      171  |normal      1.169458e+02    0.00  1.169458e+02   -0.00   0.00   99.08       --  |timelim     6.159861e+01   89.85  1.783542e+02   52.51 189.54  917.42    58265  |
o8_ar4_1                     144    56    347 min  2.377622e+02  2.430707e+02  |normal      2.430707e+02      --  2.430707e+02      --   0.00  804.71  4849702  |timelim     1.960061e+02      --  2.585494e+02      --  31.91  902.06       --  |normal      2.430707e+02      --  2.430707e+02      --   0.00  621.45       --  |timelim     1.838309e+02      --  2.430707e+02      --  32.23  900.00     2835  |timelim             -inf      --  2.654305e+02      --    inf  900.24       --  |timelim     8.996633e+01      --           inf      --    inf  916.71    59605  |
o9_ar4_1                     180    72    435 min  2.361239e+02  2.361385e+02  |timelim     1.899830e+02      --  2.361384e+02      --  24.29  900.02  7974167  |timelim     2.061788e+02      --  2.846336e+02      --  38.05  902.29       --  |timelim     2.192922e+02      --  2.361385e+02      --   7.68  921.04       --  |timelim     1.695457e+02      --  2.410616e+02      --  42.18  900.00     3723  |timelim     2.250172e+02      --  2.500191e+02      --  11.11  900.01       --  |timelim     5.696429e+01      --           inf      --    inf  915.14    54090  |
pedigree_ex1058             1058   999    867 min -2.202381e+04 -2.194487e+04  |timelim    -2.221721e+04      -- -2.186511e+04      --   1.61  900.02        0  |timelim    -2.338715e+04      -- -1.841200e+04      --  27.02  902.18       --  |timelim             -inf      --           inf      --    inf  923.45       --  |timelim    -2.247799e+04      -- -1.854217e+04      --  21.23  900.08        3  |timelim    -2.252989e+04      -- -2.148946e+04      --   4.84  900.01       --  |timelim    -2.244116e+04      --           inf      --    inf  905.74     6282  |
pedigree_ex485               485   426    296 min -2.193157e+04 -2.193157e+04  |timelim    -2.226831e+04    1.54 -2.184812e+04    0.38   1.92  902.92        0  |timelim    -2.336266e+04    6.53 -1.832956e+04   19.65  27.46  902.10       --  |timelim    -2.250157e+04    2.60 -2.138121e+04    2.57   5.24  921.31       --  |normal     -2.195352e+04    0.10 -2.193157e+04    0.00   0.10   34.25        1  |timelim    -2.250157e+04    2.60 -2.146627e+04    2.17   4.82  900.02       --  |timelim    -2.236268e+04    1.97           inf     inf    inf  917.86    28930  |
pedigree_ex485_2             485   426    296 min -2.576682e+04 -2.576682e+04  |normal     -2.576053e+04   -0.02 -2.576053e+04    0.02   0.00    0.41        0  |timelim    -2.579885e+04    0.12 -1.832956e+04   40.58  40.75  902.02       --  |timelim    -2.579196e+04    0.10 -2.576142e+04    0.02   0.12  921.19       --  |normal     -2.577489e+04    0.03 -2.574912e+04    0.07   0.10    8.42        1  |normal     -2.544202e+04   -1.28 -2.544202e+04    1.28   0.00    5.87       -- !|normal     -2.576701e+04    0.00 -2.576682e+04    0.00   0.00  110.45     6493  |
pedigree_sim2000            2000  1000    794 min            -- -9.820910e+03  |timelim    -9.903296e+03      -- -9.772230e+03      --   1.34  900.31        0  |timelim    -9.908372e+03      -- -7.454840e+03      --  32.91  902.16       --  |timelim    -9.838758e+03      -- -9.773940e+03      --   0.66  923.93       --  |timelim    -1.033074e+04      --           inf      --    inf  900.70        0  |normal     -9.796750e+03      -- -9.796750e+03      --   0.00  142.05       -- !|timelim    -9.838355e+03      -- -9.807370e+03      --   0.32  900.99      414  |
pedigree_sim400              400   150    101 min -2.641440e+03 -2.588210e+03  |timelim    -2.601774e+03      -- -2.586000e+03      --   0.61  900.02        0  |timelim    -2.645565e+03      -- -2.365620e+03      --  11.83  902.07       --  |timelim    -2.620531e+03      -- -2.575450e+03      --   1.75  921.13       --  |timelim    -2.618080e+03      -- -2.561040e+03      --   2.23  900.02      470  |timelim    -2.620530e+03      -- -2.526480e+03      --   3.72  900.02       --  |timelim    -2.605585e+03      -- -2.571940e+03      --   1.31  902.44     7124  |
pedigree_sp_top4_250         845   713    416 min -2.317619e+04 -2.317619e+04  |timelim    -2.322829e+04    0.22 -2.314734e+04    0.12   0.35  903.26        0  |timelim    -2.385318e+04    2.92 -1.087710e+04  113.07 119.30  902.05       --  |timelim    -2.344340e+04    1.15 -2.275465e+04    1.85   3.03  921.44       --  |normal     -2.319805e+04    0.09 -2.317485e+04    0.01   0.10  191.77        7  |other      -2.339141e+04    0.93 -2.243376e+04    3.31   4.27  476.63       -- !|timelim    -2.333967e+04    0.71 -2.310167e+04    0.32   1.03  924.82    22920  |
pedigree_sp_top4_300         605   473    246 min -2.317619e+04 -2.317619e+04  |timelim    -2.322935e+04    0.23 -2.315785e+04    0.08   0.31  910.70        0  |timelim    -2.384872e+04    2.90 -1.057455e+04  119.17 125.53  902.07       --  |timelim    -2.344340e+04    1.15 -2.288218e+04    1.28   2.45  921.23       --  |normal     -2.319584e+04    0.08 -2.317264e+04    0.02   0.10   17.69        1  |other      -2.315439e+04   -0.09 -2.274971e+04    1.87   1.78    1.93       -- !|timelim    -2.333207e+04    0.67 -2.311820e+04    0.25   0.93  933.56    41457  |
pedigree_sp_top4_350tr       269   262    147 min -2.300331e+04 -2.300331e+04  |timelim    -2.308023e+04    0.33 -2.300331e+04    0.00   0.33  900.02        0  |timelim    -2.377913e+04    3.37 -1.340200e+04   71.64  77.43  902.13       --  |timelim    -2.330134e+04    1.30 -2.278035e+04    0.98   2.29  921.13       --  |normal     -2.302634e+04    0.10 -2.300331e+04    0.00   0.10   13.92        1  |timelim    -2.330134e+04    1.30 -2.225083e+04    3.38   4.72  900.02       --  |timelim    -2.316890e+04    0.72 -2.291601e+04    0.38   1.10  944.89    70484  |
pedigree_sp_top5_200        1390  1258    873 min -2.326425e+04 -2.317619e+04  |timelim    -2.329919e+04      -- -2.312398e+04      --   0.76  903.38        0  |timelim    -2.389697e+04      -- -1.062273e+04      -- 124.96  902.08       --  |timelim    -2.346499e+04      -- -2.266813e+04      --   3.52  922.10       --  |timelim    -2.327699e+04      -- -2.317264e+04      --   0.45  900.09        5  |timelim    -2.346499e+04      -- -2.267356e+04      --   3.49  900.11       --  |timelim    -2.337215e+04      -- -2.272011e+04      --   2.87  914.50     8510  |
pedigree_sp_top5_250         967   835    538 min -2.323635e+04 -2.317619e+04  |timelim    -2.324431e+04      -- -2.316286e+04      --   0.35  902.51        0  |timelim    -2.389105e+04      -- -1.087710e+04      -- 119.65  902.17       --  |timelim    -2.346499e+04      -- -2.284298e+04      --   2.72  921.57       --  |normal     -2.319939e+04      -- -2.317619e+04      --   0.10  456.43        7  |timelim    -2.346499e+04      -- -2.267817e+04      --   3.47  900.04       --  |timelim    -2.336396e+04      -- -2.271961e+04      --   2.84  918.34    15514  |
