                            Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail                                         FailReason
                           PrimalBound                   32.1863                                         32.1864                                         32.1864                32.1864                                         32.1905                                             inf
                           DualBound                     32.1863                                         31.8616                                         32.1864                32.1543                                         32.1905                                          5.6377
                           SolverTime                    349.063                                         902.052                                           473.3                 274.41                                         491.217                                         932.828
                           NumberOfIterations                  0                                              60                                               0                      0                                        51110709                                         3707916
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                 3925910                                             NaN                                             NaN                   6207                                             NaN                                           84664
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                       0.0101953                                               0                  0.001                                               0                                             inf
                           PrimalGap                         NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
                           DualGap                           NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
fo9_ar2_1                  JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.5
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               1
                           PrimalBound                    32.625                                          32.625                                          32.625                32.6249                                          32.625                                             inf
                           DualBound                      32.625                                          32.625                                          32.625                32.5923                                          32.625                                         9.53552
                           SolverTime                    87.5248                                         346.623                                          104.94                 107.92                                         448.671                                         943.315
                           NumberOfIterations                  0                                              40                                               0                      0                                        34274897                                         3620167
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                  220356                                             NaN                                             NaN                   6126                                             NaN                                          102728
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                     3.58439e-08                                               0                  0.001                                               0                                             inf
                           PrimalGap                         NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
                           DualGap                           NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
fo9_ar3_1                  JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.5
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               1
                           PrimalBound                   24.8155                                         24.8155                                         24.8155                24.8155                                         24.8155                                             inf
                           DualBound                     24.8155                                         24.8155                                         24.8155                24.7907                                         24.8155                                         8.79461
                           SolverTime                    12.3607                                         161.782                                           35.54                  67.59                                          11.721                                         917.906
                           NumberOfIterations                  0                                              74                                               0                      0                                         1376060                                         3315787
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                  125221                                             NaN                                             NaN                    982                                             NaN                                           61989
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                     1.99655e-08                                               0                  0.001                                               0                                             inf
                           PrimalGap                -5.52495e-07                                               0                                               0           -2.45027e-08                                               0                                             inf
                           DualGap                   5.52495e-07                                     1.99376e-08                                               0             0.00100002                                               0                                         1.82167
fo9_ar4_1                  JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.5
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               1
                           PrimalBound                   23.4643                                         23.4643                                         23.4643                23.4643                                         23.4643                                             inf
                           DualBound                     23.4643                                         23.4643                                         23.4643                23.4408                                         23.4643                                         7.09006
                           SolverTime                    6.61468                                          214.74                                           43.96                 108.97                                          28.059                                         912.184
                           NumberOfIterations                  0                                             100                                               0                      0                                         3825780                                         3186701
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                   73840                                             NaN                                             NaN                   3978                                             NaN                                           44667
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                      6.7897e-08                                               0                  0.001                                               0                                             inf
                           PrimalGap                -2.96145e-08                                     1.82661e-10                                     1.82831e-10                      0                                     1.82648e-10                                             inf
                           DualGap                   2.96145e-08                                     6.77143e-08                                    -1.82831e-10                  0.001                                    -1.82648e-10                                         2.30946
fo9_ar5_1                  JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               1
                           PrimalBound                   23.4643                                         23.4643                                         23.4643                23.4643                                         23.4643                                             inf
                           DualBound                     23.4643                                         23.4643                                         23.4643                23.4408                                         23.4643                                         6.78175
                           SolverTime                    35.3258                                         213.874                                           37.82                 499.97                                          99.123                                          908.18
                           NumberOfIterations                  0                                             142                                               0                      0                                        11481643                                         3121171
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                  369355                                             NaN                                             NaN                  40101                                             NaN                                           34047
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                     2.87401e-08                                               0                  0.001                                               0                                             inf
                           PrimalGap                -5.55805e-08                                     1.77725e-10                                     1.12938e-10           -7.73547e-07                                     1.82648e-10                                             inf
                           DualGap                   5.55805e-08                                     2.85624e-08                                    -1.12938e-10             0.00100077                                    -1.82648e-10                                         2.45992
fo9                        JulianDate                    43951.7                                         43961.6                                             NaN                43970.6                                         43973.8                                         43962.5
                           TerminationStatus                   0                                               0                                               0                      1                                               0                                               1
                           PrimalBound                   23.4643                                         23.4643                                         23.4643                23.4643                                         23.4643                                             inf
                           DualBound                     23.4643                                         23.4643                                         23.4643                23.4029                                         23.4643                                         5.13158
                           SolverTime                    35.7171                                         134.478                                            60.3                    900                                         101.316                                          922.63
                           NumberOfIterations                  0                                              31                                               0                      0                                        12041754                                         3747991
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                  398668                                             NaN                                             NaN                  58153                                             NaN                                           72981
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                     4.35057e-09                                               0             0.00262017                                               0                                             inf
                           PrimalGap                 -1.3469e-07                                     1.82648e-10                                     1.82831e-10           -1.38727e-06                                     1.62443e-10                                             inf
                           DualGap                    1.3469e-07                                     4.16792e-09                                    -1.82831e-10             0.00262156                                    -1.62443e-10                                         3.57253
gams01                     JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   1                                               1                                               1                      1                                               1                                               1
                           PrimalBound                   21483.4                                         28427.3                                         21380.2                21918.8                                         23751.4                                         25876.6
                           DualBound                     1291.07                                         -117095                                         1106.44                1053.48                                            -inf                                          1096.2
                           SolverTime                     900.03                                         902.386                                           921.1                    900                                         900.014                                         909.104
                           NumberOfIterations                  0                                              18                                               0                      0                                        45473919                                         1629652
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                 2254498                                             NaN                                             NaN                     60                                             NaN                                           22542
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                             15.64                                             inf                                         18.3234                 19.806                                             inf                                         22.6057
                           PrimalGap                         NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
                           DualGap                           NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
gbd                        JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               0
                           PrimalBound                       2.2                                             2.2                                             2.2                    2.2                                             2.2                                             2.2
                           DualBound                         2.2                                             2.2                                             2.2                    2.2                                             2.2                                             2.2
                           SolverTime                  0.0426089                                           0.057                                               0                   0.02                                           0.001                                           0.148
                           NumberOfIterations                  0                                               9                                               0                      0                                               5                                               5
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                       0                                             NaN                                             NaN                      0                                             NaN                                               0
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                               0                                               0                      0                                               0                                               0
                           PrimalGap                           0                                               0                                               0                      0                                               0                                               0
                           DualGap                             0                                               0                                               0                      0                                               0                                               0
hybriddynamic_fixed        JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               0
                           PrimalBound                   1.47378                                         1.47378                                         1.47378                1.47378                                         1.47378                                         1.47378
                           DualBound                     1.47378                                         1.47378                                         1.47378                1.47231                                          1.3264                                         1.47327
                           SolverTime                  0.0293365                                           0.046                                               0                   0.01                                           0.038                                           0.155
                           NumberOfIterations                  0                                               8                                               0                      0                                              25                                              60
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                       0                                             NaN                                             NaN                      0                                             NaN                                               7
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                               0                                               0                  0.001                                        0.111111                                     0.000344768
                           PrimalGap                           0                                               0                                               0                      0                                               0                                               0
                           DualGap                             0                                               0                                               0                  0.001                                        0.111111                                     0.000344768
ibs2                       JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   1                                               1                                               1                      1                                               1                                               1
                           PrimalBound                   4.45377                                         18.5446                                         24.1687                    inf                                         16.2365                                             inf
                           DualBound                     4.41603                                               0                                           4.443                      0                                           4.443                                           4.443
                           SolverTime                    903.907                                         902.008                                         1017.41                    900                                         900.002                                         902.123
                           NumberOfIterations                  0                                              17                                               0                    NaN                                          194580                                          138256
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                   24731                                             NaN                                             NaN                      0                                             NaN                                             995
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                        0.00854586                                             inf                                         4.43973                    inf                                         2.65441                                             inf
                           PrimalGap                         NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
                           DualGap                           NaN                                             NaN                                             NaN                    NaN                                             NaN                                             NaN
jit1                       JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               0
                           PrimalBound                    173983                                          173983                                          173983                 173983                                          173983                                          173983
                           DualBound                      173983                                          173983                                          173983                 173810                                          173983                                          173841
                           SolverTime                  0.0756124                                           0.158                                            0.02                   0.05                                           0.134                                           0.157
                           NumberOfIterations                  0                                              20                                               0                      0                                             258                                              74
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                       0                                             NaN                                             NaN                      1                                             NaN                                               7
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                               0                                               0                  0.001                                               0                                     0.000815906
                           PrimalGap                -1.05488e-10                                    -1.05487e-10                                               0           -1.05487e-10                                    -1.05487e-10                                    -1.05487e-10
                           DualGap                   1.05488e-10                                     1.05487e-10                                               0                  0.001                                     1.05487e-10                                     0.000815906
m3                         JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               0
                           PrimalBound                      37.8                                            37.8                                            37.8                   37.8                                            37.8                                            37.8
                           DualBound                        37.8                                            37.8                                            37.8                37.7622                                            37.8                                            37.8
                           SolverTime                  0.0525991                                           0.225                                            0.02                   0.16                                           0.094                                           0.242
                           NumberOfIterations                  0                                              24                                               0                      0                                             618                                            1200
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
                           NumberOfNodes                      19                                             NaN                                             NaN                      1                                             NaN                                              52
                           Fail                            False                                           False                                           False                  False                                           False                                           False
                           FailReason                                                                                                                                                                                                                                                  
                           Gap                                 0                                               0                                               0                  0.001                                               0                                               0
                           PrimalGap                -2.12034e-10                                               0                                               0                      0                                               0                                               0
                           DualGap                   2.12034e-10                                               0                                               0                  0.001                                               0                                               0
m6                         JulianDate                    43951.7                                         43961.6                                             NaN                43970.7                                         43973.8                                         43962.6
                           TerminationStatus                   0                                               0                                               0                      0                                               0                                               0
                           PrimalBound                   82.2569                                         82.2569                                         82.2569                82.2569                                         82.2855                                         82.2569
                           DualBound                     82.2569                                         82.2569                                         82.2569                82.1747                                         82.2855                                         82.1766
                           SolverTime                  0.0933253                                           0.436                                            0.07                   0.15                                           0.105                                         294.838
                           NumberOfIterations                  0                                              17                                               0                      0                                            3172                                         2039265
                           NumberOfDomainViolations            0                                               0                                               0                      0                                               0                                               0
